stage,epidermis,erythrocytes,eye,fin.mesenchyme,glial,hatching.gland,iridophores,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,spinal.cord,taste,vasculature
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,1,0,0,0,1,0,0,18,1,0,0,0,0,0,7,0,0
 24-34,0,0,1.64,0,0,0,0,0,1.64,0,0.82,35.3,0.82,0.82,0,0,0,0,10.67,0,0.82
 36-46,0,0,2.42,0,1.61,0,0,0,2.42,0,1.61,62.04,0,0,0,0,0,0,12.89,0,0
 48-58,0.57,0,17.21,0.57,4.02,0,0,0,4.59,0,0,73.45,0,0.57,0.57,0,0,0.57,10.33,0,0
 60-70,0,0,26.5,0.98,6.87,0,0,0,3.93,0,0.98,74.6,0,0.98,0,0,0.98,0,4.91,0,0
 72-82,0.98,0,28.47,0,9.82,0,0,0,11.78,0.98,1.96,96.2,0,0.98,0,0,0,0,9.82,0.98,0
 84-94,2.12,0,10.62,0,6.37,0,1.06,0,3.19,0,1.06,56.29,0,0,1.06,0,0,0,2.12,0,0
 96-106,0,0,20.76,0,3.28,0,0,1.09,5.46,1.09,1.09,36.06,0,0,0,0,0,1.09,0,0,0
108-118,0.77,0.77,10.72,0,5.36,0,0,0,3.06,1.53,0,37.53,0,0,0,0,0,0.77,1.53,0,0
120,0,0,7.84,0,5.88,0,0,0,3.92,0,0,41.16,0,0,0,0,0,0,0,0,0
