stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,13.18,158.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,208.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,18.39,0,0,0,0,0,0,0
  7-9,0,2.63,2.63,0,0,10.51,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,63.09,2.63,0,0,15.77,0,2.63,0,0,0,0,0,0
 10-12,0,3.15,6.29,0,0,9.44,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,62.94,0,0,0,22.03,0,9.44,0,0,0,0,0,0
 14-21,0,0,0,5,2,4,0,0,1,0,1,0,0,0,0,0,0,1,0,2,33,0,2,0,1,19,2,5,4,13,0,0,0
 24-34,0,0,0,0.82,0.82,4.93,0,0,2.46,1.64,0,0,0.82,0,0,0,0,0.82,2.46,3.28,50.07,0,5.75,1.64,0,187.98,0.82,0,0,9.85,0,0.82,0
 36-46,0,0,0,0.81,0,4.83,0,0,2.42,0,0,0,0,0,0,0,0,0,0,0,52.37,0.81,2.42,0,0,159.52,4.03,0,0,5.64,0,0.81,0
 48-58,0,0,0,0,0,7.46,0,0,4.59,0,0,0,0,0.57,0,0,0.57,1.72,0,1.72,56.81,0,0.57,0.57,0,21.23,0.57,0,0,4.02,0,0,0
 60-70,0,0,0,0,0,15.7,0,0,1.96,0,0,0.98,0,0,0,2.94,0,2.94,0,0.98,66.74,0,0.98,0,0,6.87,0,0,0,9.82,0.98,2.94,0.98
 72-82,0,0,0,3.93,0,18.65,0,0.98,1.96,0.98,0,2.94,2.94,0,0.98,0,0,6.87,0.98,0.98,88.35,0.98,0.98,1.96,0,1.96,0,0,0,4.91,0.98,3.93,0
 84-94,0,0,0,5.31,0,12.74,1.06,0,4.25,1.06,0,3.19,2.12,0,0,0,0,4.25,0,2.12,41.42,0,1.06,0,0,12.74,0,0,0,4.25,4.25,3.19,0
 96-106,0,0,0,13.11,0,6.56,1.09,1.09,5.46,2.19,0,8.74,2.19,0,0,0,0,4.37,0,1.09,31.69,0,1.09,1.09,0,25.14,2.19,0,0,1.09,2.19,8.74,0
108-118,0,0,0,14.55,1.53,4.6,0,0,3.06,0.77,0,10.72,4.6,0,0,0,0,6.89,0.77,0.77,45.96,0,1.53,0,0,25.28,2.3,0,0,0.77,10.72,16.09,0.77
120,0,0,0,17.64,1.96,1.96,7.84,0,0,0,0,5.88,5.88,0,0,3.92,0,9.8,0,3.92,29.4,0,0,0,0,109.75,1.96,0,0,0,3.92,15.68,0
