stage,axial,blastomeres,epidermis,eye,fin_mesenchyme,glial,hatching_gland,iridophores,melanocytes,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord
  3-4,79.07,751.14,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0
  5-6,30.65,349.39,0,0,0,0,12.26,0,0,0,0,12.26,0,0,0,0,0,0,0,0
  7-9,5.26,2.63,0,2.63,0,0,5.26,0,0,0,0,99.89,2.63,42.06,0,2.63,0,0,0,0
 10-12,0,3.15,0,3.15,0,0,0,0,0,0,0,34.62,0,15.73,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,3,2,7,0,0,0,0,1,1,4,2
 24-34,0,0,0,0,0,0,0,0,0.82,0,0,4.93,0,0,0,0,0,0,0,0.82
 36-46,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0.57,0,0,0,0.57,0,1.15,0.57,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0.98,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,2.19,0,0,0,2.19,0,1.09,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0.77,0,0,0,0,0.77,0,0.77,0,0,0,0,0,0,0,0
120,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0
