stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,65.89,1291.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,36.78,275.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,0,30.65,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.29,5.26,0,0,26.29,26.29,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,3.15,0,0,0,0,0,0,0,0,15.73,0,0,0,0,0,0,0,0,0,37.76,0,0,0,25.18,25.18,3.15,0,3.15,0,0,0,0,0,0
 14-21,0,0,1,0,58,2,0,0,0,1,0,5,0,1,0,8,0,1,2,2,0,0,8,2,0,0,0,51,0,31,0,7,0,0,6,0,0
 24-34,0,0,2.46,0,22.98,0,0,0.82,0,5.75,0,0.82,0.82,0,0.82,29.55,0.82,1.64,1.64,1.64,0,0.82,14.78,0,4.1,0.82,0,96.04,0,0,4.93,6.57,4.93,0,22.16,0,0
 36-46,0,0,0,0,14.5,0,0,2.42,0,1.61,2.42,0,0,0,1.61,16.11,2.42,0.81,2.42,4.83,0,0,29,0.81,14.5,0.81,0,94.26,0,0,4.83,0,2.42,0,15.31,0,0
 48-58,0,0,0,0,8.03,0,0,6.31,0,2.87,1.15,0,0,0,1.15,6.31,3.44,0.57,4.59,5.74,0,0,32.71,0,5.16,1.72,0,77.46,0,0,0.57,0,5.16,0,9.75,0,0.57
 60-70,0,0,0.98,0,22.58,0,0,22.58,0,4.91,0.98,1.96,2.94,0,6.87,10.8,0,0,1.96,2.94,0,0.98,27.48,0,8.83,0.98,0,44.17,0,0,0.98,0,4.91,0,7.85,0,0
 72-82,0,0,5.89,0,16.69,0.98,0,16.69,0.98,2.94,1.96,8.83,0,0,3.93,16.69,2.94,0.98,3.93,2.94,0,0.98,33.38,0,16.69,5.89,0,49.08,0,0,0.98,0,0.98,5.89,27.49,0,0
 84-94,0,0,4.25,0,35.05,1.06,0,26.55,0,13.81,0,20.18,1.06,0,7.43,27.61,4.25,0,4.25,6.37,1.06,1.06,10.62,0,9.56,6.37,0,143.38,0,0,3.19,0,0,7.43,12.74,1.06,0
 96-106,0,0,1.09,0,37.16,0,1.09,7.65,0,8.74,3.28,15.3,0,0,10.93,44.81,12.02,2.19,5.46,5.46,0,1.09,18.58,0,16.39,7.65,0,108.19,1.09,0,4.37,0,0,9.84,19.67,3.28,1.09
108-118,0,0,0.77,0.77,42.89,0,1.53,9.96,0,12.26,1.53,15.32,0,0,7.66,52.85,6.13,3.83,5.36,1.53,0,1.53,9.19,0,9.96,3.83,0,83.49,0,0,2.3,0,0,11.49,17.62,0.77,0
120,0,0,1.96,0,43.12,0,1.96,11.76,0,11.76,0,23.52,0,0,9.8,23.52,0,1.96,0,5.88,0,0,11.76,0,15.68,7.84,0,37.24,0,0,5.88,0,0,3.92,9.8,0,0
