stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0
  5-6,0,128.72,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,6.13,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.65,84.97,0,0,6.29,0,0,0,3.15,0,3.15,0,0,0,0,0
 14-21,0,0,1,258,12,29,0,0,0,16,0,3,1,0,0,0,1,0,8,1,0,2,409,513,0,0,26,0,1,16,3,2,3,293,0,0,0,0
 24-34,0.82,0,0.82,531.09,1.64,54.18,0,4.93,0.82,50.07,0,0,0.82,0.82,2.46,0.82,10.67,0.82,22.16,2.46,0,5.75,1449.63,227.38,3.28,0.82,0,0.82,1.64,0,1.64,0,3.28,646.01,0,1.64,0,1.64
 36-46,0,0,0,285.21,0,26.59,0,3.22,0,70.9,0,0,0.81,0.81,0,0,5.64,0,18.53,2.42,1.61,0.81,803.25,79.76,2.42,1.61,0,1.61,1.61,0,1.61,0,0,597.81,0,2.42,0,0.81
 48-58,0,0,0,82.05,0,20.08,0.57,0.57,0.57,77.46,0.57,0,2.3,0,0,0,1.15,0,16.07,1.72,1.72,2.3,194.52,11.48,0.57,0.57,0,1.15,0,0,0.57,0,0,318.46,0.57,0.57,0,0
 60-70,0,0,0,27.48,1.96,26.5,0,0,0.98,42.21,1.96,0,0,0,0.98,0,0,0,24.54,0.98,2.94,3.93,85.39,2.94,0.98,0,0,3.93,0.98,0,0.98,0.98,0,77.54,0,2.94,0,0.98
 72-82,0,0,0,21.6,6.87,37.3,0.98,0,0.98,35.34,0,0,0.98,1.96,0,0,0,0,38.28,0,1.96,1.96,81.48,0,3.93,0.98,0,0.98,0,0,0,0,0,24.54,0,4.91,0.98,0
 84-94,0,0,0,31.86,7.43,35.05,0,0,0,21.24,2.12,0,0,3.19,1.06,1.06,0,0,22.3,0,5.31,1.06,45.67,2.12,1.06,3.19,0,1.06,0,0,4.25,0,0,36.11,1.06,4.25,2.12,0
 96-106,0,0,0,16.39,5.46,19.67,0,1.09,0,17.49,0,0,0,3.28,3.28,0,0,0,28.41,1.09,1.09,3.28,34.97,0,4.37,0,0,4.37,0,0,2.19,0,0,13.11,3.28,4.37,1.09,0
108-118,0,0,0,25.28,9.19,22.21,1.53,0,0,21.45,0.77,0,0,0.77,3.83,0,0.77,0,34.47,0,0.77,3.83,39.83,0.77,3.06,0.77,0,3.06,0,0,3.06,0,0,8.43,0.77,4.6,0.77,0.77
120,0,0,0,25.48,15.68,15.68,0,0,0,15.68,0,0,0,0,3.92,0,0,0,33.32,1.96,0,0,39.2,1.96,0,0,0,5.88,1.96,0,0,0,0,5.88,0,5.88,0,0
