stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0
 14-21,0,3,10,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,10,0,0,0,0
 24-34,0,4.1,3.28,0,0.82,0,0,0.82,0,0,0,0,0,0,0.82,1.64,0,0.82,5.75,0,0,0,0,0,13.13,0,0,0.82,0.82
 36-46,0,1.61,2.42,0,1.61,0.81,0,0.81,0,0,0,0,0,0,1.61,2.42,0.81,0,7.25,1.61,0,0,0,0.81,4.03,0,0,0.81,0
 48-58,0,1.15,2.87,0,4.02,0.57,0,0,0.57,0,0.57,0,0,0,1.15,13.77,0,0.57,2.3,0,0,0,0,0,0,0,0,0.57,0
 60-70,0,0.98,0,0,3.93,0.98,0,0.98,1.96,0,0.98,0,0,0,0,27.48,0,0,4.91,0,0,0,0,0,0,0,1.96,0,0
 72-82,0,0,0.98,0,8.83,0,0,0,0,0,0,0.98,0,0,0.98,77.55,0.98,0.98,5.89,0,0,0,0,0,0.98,0,0.98,0,0
 84-94,0,1.06,2.12,1.06,8.5,1.06,0,3.19,2.12,0,0,0,0,0,3.19,94.52,0,1.06,1.06,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,2.19,2.19,8.74,0,0,2.19,2.19,2.19,1.09,0,0,0,1.09,106.01,0,1.09,6.56,1.09,1.09,1.09,0,0,0,0,1.09,2.19,0
108-118,0,0.77,3.06,0,6.89,0.77,1.53,1.53,1.53,0,0.77,0.77,0.77,0.77,0.77,88.09,0,0,2.3,0,0,0,0.77,0.77,0,0.77,0.77,0.77,0.77
120,0,0,1.96,0,3.92,0,0,1.96,5.88,0,0,0,0,0,3.92,86.23,0,0,5.88,0,0,0,0,0,0,0,0,0,0
