stage,axial,blastomeres,epidermis,erythrocytes,eye,fin.mesenchyme,glial,lateral.line,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,presomitic.mesoderm,pronephros,spinal.cord,vascular.smooth.muscle,visceral.smooth.muscle
  5-6,6.13,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,0,2.63,0,0,0,0,0,15.77,0,0,5.26,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,1,0,0,0,7,0,1,0,1,2,8,0,0
 24-34,0,0,0.82,0,0,0,2.46,0,1.64,0,6.57,3.28,0,0,0,0,4.93,0,0
 36-46,0,0,0,0,1.61,0,3.22,0,0.81,1.61,8.86,0,0.81,0,0,0,7.25,0,0
 48-58,0,0,0,0,2.3,0,3.44,0,1.72,0,4.02,0,0.57,0,0,0.57,5.74,0,0
 60-70,0,0,0,0,1.96,0,3.93,0.98,0.98,0,5.89,0.98,0,0,0,0,0,0,0
 72-82,0,0,0,0,3.93,0.98,0,0,2.94,0.98,4.91,6.87,0,0,0,0,0.98,0,0.98
 84-94,0,0,0,0,2.12,0,0,1.06,2.12,0,1.06,2.12,3.19,0,0,0,1.06,0,0
 96-106,0,0,0,0,0,0,1.09,0,0,0,2.19,0,1.09,0,0,1.09,2.19,1.09,0
108-118,0,0,0,0,0.77,0,1.53,1.53,0.77,0,1.53,1.53,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,1.96,0,0,0,1.96,0,0,0,0,0,0,0
