stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,159.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,52.57,5.26,0,0,0,73.6,0,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,1140.86,13.14,0,0,47.32,0,0,0,0,0,0,0,0,0,0
 10-12,40.91,9.44,0,0,0,44.06,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,1151.79,12.59,0,0,34.62,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,18,1,0,0,0,0,0,2,7,0,0,0,3,0,0,0,2,1,0,2,89,0,0,0,0,0,0,0,3,129,0,0,0,0,0
 24-34,0,0,7.39,0.82,0,3.28,0,0,0,4.93,0.82,0,0,0,0,0,0,0,4.1,0,0,0.82,195.36,3.28,0.82,0,0,0,1.64,0,0,219.17,0,0,1.64,0,0
 36-46,0,0,8.06,0,0,5.64,0,1.61,0,1.61,1.61,0,0,0.81,0.81,0,0,0.81,7.25,0.81,0,0.81,285.21,0.81,1.61,0.81,0,0,2.42,0,0,365.77,0,0,2.42,0,0
 48-58,0,0,7.46,0,0,26.97,0,0.57,0,12.05,0.57,0,0,0.57,0,0,0,0,10.9,0,0,1.72,328.79,0,1.15,0.57,0,0.57,1.72,0.57,0.57,297.23,0,0,2.3,0,0
 60-70,0,0,6.87,0,0,21.59,0,0.98,0,0,0,0,0,0,0.98,0,0,0,8.83,1.96,0,0.98,331.75,1.96,0,0,0,0,2.94,0,0,169.8,0,0,0,0,0.98
 72-82,0,0,6.87,0.98,0,30.43,0,1.96,0,6.87,0.98,0,0.98,0,0,0,0.98,0,11.78,0,0.98,0.98,315.11,0,0.98,0.98,0,0,3.93,0,0,109.95,0.98,0,2.94,0,0
 84-94,0,0,5.31,2.12,0,37.17,1.06,0,0,5.31,1.06,0,0,1.06,0,0,0,0,5.31,0,2.12,0,213.47,0,0,1.06,0,0,3.19,1.06,1.06,54.16,0,2.12,1.06,2.12,0
 96-106,0,0,10.93,1.09,0,16.39,1.09,1.09,0,6.56,0,0,0,2.19,0,1.09,1.09,0,7.65,0,0,0,194.53,1.09,2.19,2.19,0,0,4.37,0,0,30.6,0,0,0,0,1.09
108-118,0,0.77,6.13,1.53,0,9.19,0,0,0.77,7.66,0,0,0,0.77,0,0.77,0,0.77,6.89,0,2.3,1.53,240.51,0,0,1.53,0,0,2.3,0,0.77,32.17,0.77,0,0,0,0
120,0,0,7.84,1.96,1.96,9.8,0,0,1.96,7.84,0,0,0,1.96,0,0,0,0,5.88,0,1.96,0,264.57,0,0,0,0,0,0,0,0,41.16,0,0,0,0,0
