stage,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,periderm,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,8,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0
 24-34,2.46,0,0.82,0,0,0,0,0.82,0,0,27.09,0,0,0,11.49,0,0,13.13,1.64,0,1.64,0,0,0,0,0
 36-46,3.22,0,0,0,0.81,0,0,0.81,4.03,0,19.34,0,0,2.42,20.95,0,0,80.57,5.64,0,4.03,0,0,0,0,0
 48-58,1.15,0,0,0,0.57,0,0,1.15,7.46,1.15,1.15,0,0,0,12.05,0,0.57,25.82,1.72,0,2.87,0,0.57,0,0,0
 60-70,2.94,0,0.98,0,0,0,0,1.96,5.89,0.98,7.85,0,0,0.98,22.58,0,0,17.67,4.91,0,5.89,0,2.94,0.98,0,0
 72-82,0.98,0,0.98,0,0.98,0,0,16.69,0.98,0,9.82,0,0.98,2.94,23.56,0,0,9.82,5.89,0,0.98,0,0,8.83,0,0.98
 84-94,2.12,0,2.12,0,0,0,0,6.37,3.19,0,10.62,2.12,0,0,30.8,1.06,0,20.18,9.56,0,3.19,1.06,0,10.62,0,0
 96-106,19.67,1.09,1.09,1.09,3.28,1.09,2.19,66.66,0,2.19,20.76,3.28,1.09,1.09,39.34,1.09,0,25.14,38.25,1.09,15.3,0,0,110.38,0,0
108-118,13.02,0.77,3.83,0,0,0,0.77,48.26,0,1.53,21.45,0.77,0,5.36,19.92,0,0.77,9.96,14.55,0,16.09,0,0.77,68.17,0.77,0
120,7.84,0,5.88,0,0,1.96,0,48.99,0,0,15.68,3.92,0,0,23.52,0,0,13.72,3.92,0,3.92,0,0,29.4,0,0
