stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,4,4,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,1,0,0,0,15,0,0,0,0,22,1,3,0,1,7,23,0,0,4,0,0
 24-34,0.82,2.46,0.82,0,6.57,0,0,0,0,0,0,0.82,0.82,1.64,0,0,0.82,1.64,8.21,0,0,3.28,102.61,1.64,2.46,0,0,53.36,0,0,1.64,0,3.28,45.97,0,0,13.13,0,0
 36-46,0,2.42,3.22,0,43.51,0,0.81,0.81,4.03,0,0,0.81,0,0,0.81,0.81,0,7.25,4.83,1.61,0,3.22,227.2,2.42,2.42,0,0,55.59,0,0,1.61,0,0,59.62,0,0,5.64,0,0.81
 48-58,0.57,3.44,13.2,0,72.3,0.57,1.15,1.72,8.03,1.72,0,0.57,0,0,1.15,0,1.15,3.44,12.62,0.57,0,1.72,264.52,0.57,0.57,1.72,0,40.74,0,0,1.15,0,0,43.04,0,0,6.89,0,2.87
 60-70,0,4.91,13.74,0,177.66,0.98,1.96,0,30.43,1.96,0,0.98,0.98,0,4.91,1.96,2.94,4.91,12.76,0.98,0,0,478,1.96,1.96,1.96,0.98,36.32,0,0.98,2.94,0,0,56.93,0,0,8.83,0,0.98
 72-82,1.96,9.82,70.68,0,244.43,1.96,0.98,2.94,38.28,3.93,0,4.91,5.89,0,3.93,0.98,0.98,3.93,38.28,0.98,0.98,3.93,378.92,0.98,6.87,2.94,0,39.27,0,0,0.98,0,0,21.6,0.98,0,16.69,0,6.87
 84-94,0,6.37,49.92,0,162.49,2.12,1.06,1.06,24.43,4.25,0,0,3.19,1.06,5.31,0,0,6.37,30.8,0,0,4.25,181.61,2.12,2.12,1.06,0,115.76,1.06,0,3.19,1.06,0,14.87,2.12,0,21.24,0,2.12
 96-106,2.19,17.49,39.34,0,156.28,1.09,0,0,21.86,5.46,0,4.37,9.84,2.19,1.09,1.09,0,2.19,28.41,1.09,6.56,5.46,139.88,5.46,6.56,5.46,0,106.01,0,0,2.19,0,0,6.56,0,2.19,17.49,1.09,7.65
108-118,0,13.79,25.28,3.83,142.47,1.53,2.3,0,26.04,6.89,0,0,9.19,0.77,7.66,2.3,3.06,3.83,22.21,0.77,0.77,7.66,175.41,0.77,4.6,1.53,0,76.6,0,0,1.53,0,0,1.53,0.77,0,21.45,2.3,8.43
120,0,23.52,41.16,1.96,86.23,5.88,3.92,1.96,19.6,9.8,0,0,3.92,1.96,1.96,1.96,0,1.96,33.32,0,0,7.84,133.27,1.96,1.96,3.92,0,78.39,0,0,0,0,0,1.96,0,0,21.56,3.92,1.96
