stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,2.63,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,15.77,2.63,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,12.59,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,5,27,3,0,0,0,0,0,0,3,0,0,9,0,0,0,0,0
 24-34,0,0,0.82,0,0.82,0,0,3.28,0,0,0,0.82,0.82,0,1.64,0,0,0,0,0,0,10.67,0,0,0.82,197.83,0.82,11.49,0,0,0,0.82,0,0,0.82,0.82,76.34,0,0,0.82,0,0
 36-46,0,0,0,0,0.81,0,0,5.64,0,0,0,3.22,0,0,1.61,0,0,0,0,0,0,10.47,0,0,4.03,548.66,0.81,12.09,0.81,0,0,1.61,0.81,0,0,0,118.43,0,0,0,0,0
 48-58,0,0,0,0,3.44,0.57,0,41.89,0,0,0.57,17.79,0,0,2.3,0,0,0,0,0,0.57,14.35,0,0,2.87,752.83,1.15,5.74,0.57,0,1.72,2.3,0,0,0.57,0,147.47,0,0,1.15,0,1.15
 60-70,0,0,0,0,0.98,0,0,129.56,0,0,0,39.26,0,0,0.98,0,0,0.98,0,0.98,0,15.7,0,0.98,3.93,1314.26,0,9.82,0.98,0,1.96,0,0,0,0,0,159.99,0,0,1.96,0,0.98
 72-82,0,0,0,0,9.82,0,0,260.14,0,0,2.94,42.21,0.98,0,3.93,0.98,0,1.96,0.98,0,0,50.06,0,3.93,5.89,1569.68,0.98,14.72,0.98,0,0,0.98,0,0,0,0,130.56,0.98,0.98,0.98,0.98,0.98
 84-94,0,0,2.12,0,15.93,3.19,0,155.06,2.12,0,2.12,29.74,1.06,0,1.06,1.06,0,3.19,0,1.06,0,35.05,0,6.37,3.19,778.47,1.06,11.68,1.06,0,0,5.31,0,0,0,0,57.35,0,1.06,0,2.12,0
 96-106,0,0,1.09,0,4.37,4.37,0,158.46,0,2.19,0,30.6,3.28,0,1.09,2.19,0,0,0,2.19,0,34.97,1.09,3.28,4.37,673.19,0,15.3,1.09,0,0,6.56,0,0,0,0,31.69,1.09,2.19,1.09,2.19,0
108-118,0,0,0,0,14.55,1.53,0,134.81,0.77,2.3,2.3,37.53,1.53,0,0.77,1.53,0.77,1.53,0,0.77,0,22.98,0,4.6,1.53,687.83,0.77,6.13,1.53,0,0,3.83,0.77,0,0.77,0,21.45,0,0,1.53,0.77,0.77
120,0,0,0,0,21.56,5.88,1.96,109.75,1.96,3.92,1.96,27.44,0,0,1.96,1.96,1.96,0,0,1.96,0,27.44,0,0,5.88,928.94,1.96,11.76,1.96,0,1.96,5.88,0,0,1.96,0,45.08,0,0,3.92,0,0
