stage,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,immune,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0
 24-34,0,0.82,0.82,0,0,0,0,0,0,0,0,0,1.64,0,0,0,21.34,0,0,0,0,0,0.82,0.82,7.39,0,0,0
 36-46,0,0,0,3.22,0,0,0,0.81,0,0,0,0,0.81,0,0,1.61,34.64,1.61,1.61,0,0,0,0.81,0,4.83,0,0,0
 48-58,0,0.57,0,6.31,0,0.57,1.15,3.44,0.57,0.57,0,0.57,4.02,0,0,0,26.4,0,0,0,0,0,0,0,6.89,0,0.57,0.57
 60-70,0,0,0,6.87,0,0,0,1.96,0,0,0,0,2.94,0,0,0,16.69,0,0,0,0,0,0,0,0.98,0,0,0
 72-82,0,0,0.98,0.98,0,0,0,1.96,0,0,0,0,5.89,0.98,0,0.98,9.82,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,3.19,0,0,0,0,0,0,0,0,3.19,0,0,0,3.19,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,2.19,2.19,2.19,1.09,0,1.09,0,0,0,0,0,3.28,0,0,2.19,7.65,0,0,1.09,0,0,4.37,0,1.09,0,0,0
108-118,0,0.77,0,3.06,0,0,0.77,2.3,0.77,0,0,0,3.83,0,1.53,3.06,16.85,0,0,0,0,1.53,0.77,0,0,0.77,0.77,0
120,0,0,1.96,3.92,0,0,0,3.92,0,0,1.96,0,3.92,0,0,1.96,33.32,1.96,0,0,0,0,0,0,0,0,1.96,0
