stage,axial,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,197.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0,0
  5-6,0,110.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,7.89,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,26.29,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,9.44,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,97.56,6.29,0,0,12.59,0,3.15,0,0,0,0,3.15,0,0,0,0
 14-21,0,0,3,2,0,11,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,1,36,0,0,2,0,0,0,3,0,0,4,17,0,0,0,0
 24-34,0,0,0,1.64,0,14.78,0,0,0,1.64,0,0,0,0.82,0.82,0,0,0,5.75,0,0,1.64,53.36,0.82,0,1.64,0,0.82,0,0,0,0,0.82,14.78,0,1.64,0,0
 36-46,0,0,0,0,0,9.67,0,0,0.81,1.61,0,0,0,0,0,0,0,0,7.25,0,0,0.81,37.06,0,0,0.81,0,0.81,0,0,0,1.61,0,7.25,0,0,0,0
 48-58,0,0,0,0,0,14.35,0.57,0.57,0,3.44,0,0,0,0,0,0,0,0,8.03,0,0,4.59,36.72,0,0,2.3,0,1.72,0,0,0.57,0.57,0,8.03,0,1.15,0,0.57
 60-70,0,0,3.93,0,0,11.78,0,0.98,0.98,6.87,1.96,0,0,2.94,0,0,0,0,8.83,0,0,2.94,46.13,0.98,0,0.98,0,2.94,0,0,0,0,0,14.72,0,0,0,0
 72-82,0,0,0,0.98,0.98,13.74,0,0.98,0,8.83,0,0,0,0,0.98,1.96,0.98,0,21.6,0,1.96,6.87,61.84,1.96,1.96,0.98,0,1.96,0,0,1.96,0,0,2.94,0,3.93,1.96,0
 84-94,0,0,1.06,0,0,22.3,0,2.12,2.12,4.25,0,0,1.06,2.12,1.06,2.12,3.19,0,19.12,0,2.12,4.25,38.23,1.06,1.06,0,0,12.74,0,0,1.06,2.12,0,1.06,0,2.12,0,1.06
 96-106,0,0,1.09,1.09,0,9.84,0,0,0,7.65,5.46,0,1.09,1.09,0,0,0,1.09,18.58,1.09,1.09,4.37,32.79,2.19,1.09,3.28,0,14.21,0,0,0,0,0,4.37,1.09,0,0,0
108-118,0,0,10.72,0,3.06,9.96,0,0.77,0.77,11.49,0.77,0,0.77,2.3,0.77,0,0.77,1.53,21.45,0,1.53,9.96,30.64,0.77,0.77,0.77,0,8.43,0,0,1.53,2.3,0,3.06,0,3.06,0,2.3
120,0,0,23.52,0,0,13.72,0,1.96,1.96,11.76,3.92,0,0,1.96,0,0,0,1.96,9.8,0,1.96,11.76,25.48,0,0,1.96,0,7.84,0,0,1.96,0,0,7.84,0,0,0,0
