stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,heart,ionocyte,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,2.63,0,0,0,0,2.63,0,0,0,0
 10-12,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,6.29,0,0,6.29,0,0,0,0,0
 14-21,0,1,1,1,0,0,1,0,0,0,0,0,2,0,0,7,0,0,0,0,0,9,0,0,0
 24-34,0,0.82,0,0.82,0,0,0,0,0,0,0,0,0.82,0,0.82,27.09,0.82,1.64,1.64,0,1.64,6.57,0,0,0
 36-46,0,0,0,1.61,0.81,3.22,0,0,0,0,0,0,2.42,0,0.81,37.06,1.61,0,0.81,0,0,13.7,0,0,0
 48-58,0,0,0,5.74,0,1.15,0,0,0.57,0,0,0.57,2.87,0,1.15,23.53,0.57,0,1.15,0,0,5.74,0.57,0,0
 60-70,0,0.98,0,11.78,0,0,0,0,0,0,0,0,2.94,0,0,48.09,0.98,0,0,0,0.98,10.8,0,0,0
 72-82,0,1.96,0,17.67,0,0,0,0,0,0,1.96,0,6.87,0,0,36.32,0,0,0,0,0,3.93,0,0,0
 84-94,0,1.06,0,13.81,0,5.31,1.06,0,1.06,0,0,0,5.31,1.06,0,25.49,1.06,0,2.12,0,0,0,1.06,0,1.06
 96-106,0,0,0,8.74,0,3.28,1.09,0,0,0,0,0,2.19,0,0,10.93,1.09,0,2.19,0,1.09,1.09,0,0,0
108-118,0,0,0,4.6,0,2.3,0,0,0,0,0,0,1.53,0,0,14.55,0,0,1.53,0,0,0.77,0,0.77,0
120,0,0,0,0,0,0,0,0,0,1.96,0,0,3.92,0,0,21.56,0,0,0,0,0,1.96,0,0,0
