stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,2.63,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,18.88,9.44,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,1,0,139,2,0,1,0,2,0,1,3,0,0,0,1,0,13,1,23,0,0,19,22,113,0,0,0,0,14,2,12,1,1,26,19,0,0,0,0
 24-34,0.82,0,77.98,0,0,4.1,0,11.49,4.1,0.82,0,0,0.82,1.64,2.46,0,12.31,0,35.3,0.82,0.82,26.27,16.42,27.91,0,1.64,0,0,22.16,0,0,1.64,0.82,6.57,4.1,0,0,3.28,0
 36-46,1.61,0,36.26,0,0,4.83,0,8.86,16.11,1.61,0,0,0,1.61,0,0,4.03,0,72.51,0,0,21.75,15.31,13.7,0.81,4.03,0,0,23.36,0,0.81,1.61,0,0.81,4.03,0,0,0.81,0
 48-58,0,0,43.61,0,0,13.2,0,8.03,14.35,4.02,0,0,0,0.57,0,0,4.59,0,117.06,0.57,0,18.94,20.08,5.74,0,4.59,0,0,10.9,0,0,0,0,0,2.87,0,0,0,0
 60-70,0.98,0,23.56,0,0,22.58,0,8.83,15.7,5.89,0,0,0,5.89,0,0.98,5.89,0,190.42,0.98,0,14.72,14.72,1.96,0,5.89,0,0,7.85,0,0,0.98,0,0,4.91,0.98,0.98,0.98,0.98
 72-82,0,0,40.25,0,0,17.67,0,3.93,25.52,1.96,0,0,0,8.83,0,0,5.89,0,255.23,0.98,3.93,14.72,9.82,2.94,1.96,11.78,0,0.98,6.87,0,0,0,0.98,0,0,0,5.89,0.98,2.94
 84-94,0,0,79.65,1.06,0,8.5,0,4.25,23.36,4.25,1.06,0,2.12,8.5,1.06,0,10.62,0,165.68,1.06,0,4.25,5.31,7.43,0,8.5,0,0,15.93,0,0,0,0,0,1.06,1.06,6.37,0,2.12
 96-106,1.09,0,44.81,2.19,1.09,8.74,0,5.46,9.84,2.19,0,0,0,10.93,1.09,0,13.11,0,140.98,1.09,1.09,7.65,12.02,2.19,1.09,7.65,0,1.09,15.3,0,0,1.09,0,0,0,0,3.28,2.19,2.19
108-118,0.77,0,41.36,0,0.77,6.89,0.77,13.02,12.26,2.3,1.53,0,0.77,11.49,0,1.53,16.09,0,98.04,0,0,7.66,10.72,4.6,0.77,6.89,0,0.77,3.83,0,0,0.77,0.77,0,0,0,0,2.3,5.36
120,1.96,0,19.6,0,0,0,0,7.84,9.8,0,1.96,0,0,9.8,0,0,1.96,0,60.75,1.96,1.96,3.92,7.84,7.84,1.96,3.92,0,1.96,0,0,0,3.92,0,0,0,0,3.92,0,0
