stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,1,1,0,0,130,10,25,0,0,0,1,6,1,0,0,0,0,0,0,1,34,0,0,20,105,5,0,0,19,0,0,56,1,7,50,36,0,0,5,0,4
 24-34,0,0,0,4.93,45.15,4.1,27.09,0,10.67,2.46,7.39,6.57,0,0.82,2.46,2.46,0,0,0.82,9.03,80.44,0,0,27.09,164.99,3.28,0.82,1.64,0,0,3.28,0,0.82,1.64,35.3,33.66,0,0,13.95,0,7.39
 36-46,0,0,0,0,16.11,0.81,55.59,0,0.81,8.06,37.06,3.22,0,1.61,0.81,0,2.42,0,0,2.42,149.85,0,2.42,29.81,180.47,3.22,0,2.42,0,0,3.22,0,0,0,0,48.34,0,0,7.25,0,4.03
 48-58,0,0,0,0,11.48,0,106.15,0,2.87,4.59,59.68,1.15,0,2.87,4.59,0.57,2.3,1.72,0.57,1.72,169.85,0,4.02,28.69,76.89,0.57,0.57,2.3,0,0.57,6.89,0,0,0,0,36.72,0,1.15,14.35,0.57,6.31
 60-70,0,0,0,0,8.83,0,148.21,0,4.91,10.8,21.59,0.98,0,4.91,9.82,0.98,0,0.98,0,0,199.25,0,10.8,11.78,36.32,0,2.94,0,0,0,12.76,0,0,0,0,15.7,0,7.85,12.76,1.96,6.87
 72-82,0,0,1.96,0,17.67,0,50.06,0,8.83,13.74,14.72,2.94,0,8.83,16.69,1.96,0.98,3.93,0,0,198.3,0.98,11.78,9.82,38.28,0,0.98,1.96,0,1.96,17.67,0,0,0,0,2.94,0,16.69,21.6,12.76,6.87
 84-94,0,0,0,1.06,36.11,1.06,56.29,0,16.99,9.56,9.56,4.25,0,4.25,19.12,2.12,6.37,1.06,1.06,0,152.93,0,8.5,11.68,25.49,1.06,0,1.06,0,3.19,58.41,0,0,0,0,2.12,1.06,4.25,19.12,3.19,4.25
 96-106,0,0,0,0,55.74,0,28.41,1.09,19.67,5.46,10.93,1.09,0,5.46,36.06,6.56,0,2.19,0,0,124.58,2.19,2.19,8.74,31.69,0,7.65,2.19,0,4.37,90.71,0,0,0,0,2.19,0,14.21,26.23,9.84,15.3
108-118,0,0,0.77,1.53,39.06,0.77,24.51,0,19.15,8.43,6.13,3.06,0,3.06,20.68,6.89,2.3,0.77,1.53,2.3,111.83,0.77,3.06,7.66,29.87,0,3.06,0.77,0,3.83,61.28,0,0,0.77,0,1.53,1.53,15.32,8.43,5.36,19.15
120,0,0,0,0,62.71,3.92,27.44,0,27.44,3.92,5.88,1.96,0,1.96,19.6,1.96,7.84,0,0,0,72.51,5.88,3.92,1.96,23.52,1.96,0,3.92,0,1.96,43.12,0,0,0,0,3.92,0,3.92,23.52,3.92,1.96
