stage,axial,blastomeres,endoderm,epidermis,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,immune,liver,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,355.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0
  5-6,0,288.09,0,0,0,0,0,0,0,6.13,0,0,0,0,0,24.52,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,7.89,0,18.4,0,21.03,0,0,0,0,5.26,0,0,0,0,0,181.38,7.89,0,110.41,0,0,10.51,0,0,0,0,0,0,0,0
 10-12,0,3.15,6.29,0,12.59,0,0,0,0,9.44,0,0,0,0,0,103.85,3.15,0,40.91,0,0,6.29,0,6.29,0,0,0,0,0,0
 14-21,0,0,1,3,5,0,0,2,1,0,0,0,2,0,1,39,1,0,0,0,0,1,5,0,2,25,0,0,0,0
 24-34,0,0,0,0,2.46,0,0,1.64,0,0,0,0,2.46,0,1.64,20.52,0,0,0,0,0,0,0,0,0,9.85,0,0,0,0
 36-46,0,0,0,1.61,3.22,0,0,0.81,0,0,0,0,1.61,0,0,9.67,0,0.81,0,0,0.81,0,0,0,0,4.03,0,0,0,0
 48-58,0,0,0,0,6.89,0,0,0.57,0,0,0.57,0,2.87,0,0,8.03,0,0,0,0,0,0.57,0,0,0,1.72,0,0.57,0,0.57
 60-70,0,0,0,0.98,7.85,0,0.98,0.98,0,0,0,0,1.96,0,0,8.83,0,0,0,0,0,0.98,0,0,0,0.98,0,0.98,0,0
 72-82,0,0,0,0.98,2.94,0,0,0,0,0,0,0,7.85,0,0,7.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,1.06,1.06,1.06,0,0,0,0,0,0,4.25,0,1.06,7.43,0,0,0,0,2.12,0,0,0,0,1.06,1.06,0,0,0
 96-106,0,0,0,3.28,1.09,0,0,2.19,0,0,0,1.09,0,0,0,3.28,0,0,0,0,2.19,2.19,0,0,0,1.09,0,0,0,0
108-118,0,0,0.77,0,3.83,0,0,1.53,0,0,0,0,1.53,0,0,4.6,0,0,0,1.53,0.77,2.3,0,0,0,0,0,1.53,0,0
120,0,0,0,0,0,0,0,1.96,0,0,1.96,0,1.96,1.96,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0
