stage,blastomeres,epidermis,eye,fin.mesenchyme,glial,ionocyte,mesenchyme,muscle,neural,notochord,otic,periderm,pronephros,somites,spinal.cord,visceral.smooth.muscle
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0
 24-34,0,0,0,0,0,0,0,0,4.1,0,0.82,0.82,0.82,0.82,0.82,0
 36-46,0,0,0,0,0,0,0.81,0,1.61,0,0,0,0,0,0,0
 48-58,0,0,0.57,0,1.15,0,1.15,0,2.87,0,0,0,0,0,0.57,0
 60-70,0,0,0,0,0,0,1.96,0,5.89,0,0,0,0,0,0.98,0
 72-82,0,0,0.98,0.98,0.98,0,0,0,3.93,0,0,0,0,0,0,0
 84-94,0,1.06,0,0,0,0,1.06,0,1.06,0,0,0,0,0,1.06,0
 96-106,0,0,2.19,0,1.09,0,1.09,1.09,1.09,0,0,0,0,0,1.09,0
108-118,0,0,0,0,0.77,0.77,0.77,0,3.06,0,0.77,0,0,0,0.77,0.77
120,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0
