stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,iridophores,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,85.81,49.04,0,6.13,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,52.57,0,0,0,0,0,0,5.26,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,12.59,0,0,15.73,0,0,0,0,0,12.59,0,0,0,0,0,0,12.59,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,11,7,0,0,0,0,0,0,2,0,0,0,1,6,0,1,4,0,0,1,0,0,1,1,0,3,8,11,0,0,0,0,0
 24-34,0,0,0,0,1.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.73,0,0.82,0,0,0,0,0,0,4.1,0.82,53.36,0,0,1.64,0,0
 36-46,0,0,0,0,2.42,0,9.67,0,0,0,0,0,0,0,0,0.81,0.81,0,0.81,66.06,0,0.81,0,0,0,1.61,0,0,1.61,0,83.79,0,0,0,0,0
 48-58,0,0,0,0,0,0,27.54,0,0,0,0,0,0,0,0,0,1.15,0,0,67.14,0,0,0,0,0,0,0,0,1.15,0,45.33,0,0,0,0,0.57
 60-70,0,0,0.98,0,0.98,0,195.32,0.98,0,0,0.98,0.98,0,0,0,0,3.93,0,0.98,115.82,0,0,0,0,0,0,0,1.96,0.98,0,35.33,0,0,0,0,0
 72-82,0,0,0,0,2.94,0,569.36,0,0.98,0,12.76,0,0,0,0,0,5.89,0,0.98,180.63,0.98,0,0,0,0,0,0,0,0,0,21.6,0.98,0,0.98,0.98,0
 84-94,0,0,0,0,6.37,1.06,431.19,4.25,1.06,0,7.43,2.12,0,0,1.06,0,3.19,0,0,97.71,0,0,0,0,1.06,1.06,0,0,2.12,0,20.18,1.06,1.06,1.06,1.06,0
 96-106,0,0,0,0,2.19,1.09,500.52,1.09,1.09,1.09,13.11,0,0,2.19,0,1.09,9.84,1.09,0,97.26,0,0,2.19,0,1.09,1.09,0,0,0,0,4.37,0,0,3.28,1.09,0
108-118,0,0,0,0,2.3,1.53,364.6,1.53,0,0.77,11.49,0.77,0,0.77,0,0,4.6,0,0,119.49,0,0,0,0,0,0,0,1.53,1.53,0,3.83,0.77,0,0,0.77,0
120,0,0,1.96,0,5.88,1.96,305.73,0,3.92,0,19.6,0,0,0,0,0,1.96,0,0,88.19,1.96,0,0,0,0,0,0,0,0,0,11.76,0,0,0,0,0
