stage,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,periderm,slow.muscle,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0
 36-46,0,0,0,0,0.81,0,0.81,0,0,0,0,0,0,0,0,0,0,0,2.42,0,0,0,0,0.81,0,0,0,0
 48-58,0,0,0,0,0,0,1.15,0,0,0,0,0,0,0,0,0,0,0,0.57,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0.98,0,3.93,0,0,0,0,0,0,0,0,0,0,0,6.87,0,0,0,0,0.98,0,0,0.98,0
 72-82,0.98,0,0.98,0,1.96,0,6.87,26.5,0,0,0,0,0,0,2.94,0,0,0,27.49,0,0,0.98,0,0.98,0,1.96,5.89,0
 84-94,1.06,0,0,0,3.19,0,6.37,37.17,0,0,0,0,0,0,3.19,0,1.06,0,13.81,0,0,0,0,1.06,0,0,3.19,0
 96-106,2.19,1.09,1.09,0,7.65,1.09,4.37,267.75,0,0,1.09,1.09,1.09,2.19,7.65,1.09,0,2.19,62.29,2.19,3.28,10.93,0,3.28,1.09,2.19,12.02,0
108-118,1.53,1.53,0.77,0,7.66,0.77,9.96,418.98,0.77,1.53,0,0,0,3.06,6.89,0,1.53,0.77,76.6,0,0,3.83,0,4.6,0,0.77,3.83,0.77
120,0,3.92,0,1.96,11.76,0,5.88,293.97,0,3.92,0,1.96,0,3.92,7.84,0,0,3.92,86.23,0,0,0,1.96,3.92,0,0,17.64,0
