stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,79.07,961.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,760.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,7.89,0,0,0,0,0,0,0,0,0,21.03,0,0,0,0,0,0,0,0,0,0,0,23.66,10.51,0,0,21.03,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,9.44,0,0,0,25.18,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,138.47,91.26,0,0,81.82,0,0,0,6.29,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,1,165,4,0,23,0,19,0,12,0,1,0,0,0,0,0,0,0,11,0,0,10,368,37,4,18,60,0,1,29,2,6,62,182,0,0,0,0,0
 24-34,0,0,0,1.64,155.14,0.82,0,64.85,3.28,98.5,5.75,17.24,0.82,0,0,0,0.82,0,8.21,2.46,0.82,37.76,0.82,0.82,23.8,1017.04,9.85,21.34,21.34,0,0,13.13,0,8.21,16.42,38.58,229.84,0,0,4.93,0,0
 36-46,0,0,0,0,62.04,0,0,169.19,7.25,67.68,2.42,20.95,0.81,0,0.81,0,0,0.81,8.86,0,0,53.17,0,3.22,20.95,1645.98,6.45,36.26,11.28,0,0,5.64,0,5.64,23.36,4.83,240.09,0,0,0,0,0
 48-58,0,0,0,0,49.92,0,0,446.42,2.87,72.87,2.87,72.87,1.72,0.57,2.3,0.57,0,1.72,6.31,0.57,2.3,53.36,0.57,3.44,16.64,2147.18,4.02,20.66,18.94,0,0,5.16,0,3.44,5.16,0,274.28,0,0.57,0.57,0,1.72
 60-70,0,0,0,0,61.84,0,0,1005.08,4.91,59.87,0.98,105.02,1.96,0.98,1.96,0,0.98,0,4.91,0.98,0.98,61.84,0,2.94,17.67,2674.65,4.91,13.74,16.69,0.98,0,7.85,0,6.87,0.98,0,316.05,1.96,0.98,3.93,0,0.98
 72-82,0,0,2.94,0,71.66,2.94,0,1095.53,1.96,58.9,5.89,172.77,1.96,0,0.98,0.98,1.96,0.98,15.71,2.94,0.98,123.69,5.89,3.93,22.58,2348.14,4.91,49.08,33.38,0,0.98,8.83,0,4.91,2.94,0,181.61,7.85,6.87,2.94,3.93,1.96
 84-94,0,0,2.12,0,120.01,4.25,1.06,678.64,2.12,104.08,3.19,118.95,2.12,0,2.12,3.19,4.25,4.25,7.43,2.12,2.12,84.96,2.12,8.5,19.12,1166.12,4.25,30.8,31.86,0,0,12.74,0,6.37,1.06,0,111.51,14.87,7.43,5.31,5.31,0
 96-106,0,0,4.37,0,134.42,4.37,1.09,511.45,1.09,100.54,4.37,97.26,7.65,0,1.09,8.74,0,1.09,16.39,4.37,1.09,78.68,6.56,5.46,15.3,914.71,2.19,49.18,34.97,0,0,16.39,0,5.46,3.28,0,51.36,9.84,8.74,4.37,6.56,1.09
108-118,0,0,0,0,124.09,2.3,3.83,396,4.6,125.62,4.6,86.55,6.89,0,1.53,3.83,4.6,3.83,12.26,1.53,3.83,72.77,0.77,3.83,18.38,1117.54,5.36,35.23,29.11,0,0.77,3.83,0,1.53,3.06,0,39.06,15.32,3.06,3.06,3.06,3.06
120,0,0,0,0,123.47,0,0,342.96,3.92,103.87,1.96,66.63,15.68,0,0,0,3.92,0,13.72,5.88,0,52.91,3.92,0,17.64,1099.44,11.76,29.4,25.48,0,0,7.84,0,5.88,0,0,48.99,3.92,1.96,3.92,5.88,0
