stage,blastomeres,eye,glial,immune,liver,mesenchyme,mucous,neural,paraxial.mesoderm,pronephros,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,3.15,0,0
 14-21,0,0,0,0,1,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0.82,0,1.64,0
 36-46,0,0,0,0,0,0,0.81,0,0,0.81,0
 48-58,0,0,0,0,0,0,0,0.57,0,3.44,0
 60-70,0,0.98,0,0,0,0,0,0,0,3.93,0
 72-82,0,0,0.98,0,0,0,0,0,0,7.85,0
 84-94,0,0,0,0,0,1.06,0,0,0,12.74,0
 96-106,0,0,0,0,0,0,0,0,0,18.58,0
108-118,0,0,0,0.77,0,0.77,0,0,0,11.49,0.77
120,0,0,0,1.96,0,0,0,0,0,11.76,0
