stage,axial,blastomeres,endoderm,erythrocytes,eye,glial,immune,mesenchyme,neural,olfactory,periderm,spinal.cord,taste,vasculature
  3-4,13.18,13.18,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0
 14-21,0,0,0,0,1,0,0,0,3,0,0,0,0,0
 24-34,0,0,0.82,0,1.64,0,0.82,0.82,3.28,0,0,0.82,0,0
 36-46,0,0,0,0,0,0,0.81,0,0.81,0,0,0.81,0,0
 48-58,0,0,0,0,1.15,0,0,0,1.15,0,0,0,0,0
 60-70,0,0,0,0,0.98,0,0,0,0.98,0,0,0,0,0
 72-82,0,0,0,1.96,0,0,0,0.98,0,0,0,0,0,0
 84-94,0,0,0,0,0,1.06,0,0,2.12,0,0,0,0,0
 96-106,0,0,0,1.09,1.09,0,0,1.09,3.28,1.09,0,0,0,0
108-118,0,0,0,0,0,0,0,0.77,3.06,0,0.77,0,0.77,2.3
120,0,0,0,1.96,0,0,0,0,0,0,0,0,0,3.92
