stage,epidermis,eye,fin_mesenchyme,glial,iridophores,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,somites,spinal_cord,vasculature
 14-21,0,0,0,0,0,0,0,0,1,1,0,0,0,0
 24-34,0,0.82,0,0.82,0,0,3.28,0,2.46,1.64,0.82,0.82,0,0
 36-46,0,0,0,0,0,0,4.03,0,1.61,0,0,0,0,0.81
 48-58,0,0.57,0,1.72,0,0.57,7.46,0,3.44,1.72,0,0,0.57,0
 60-70,0.98,0,0,2.94,0.98,0,14.72,0,1.96,2.94,0,0,0,0
 72-82,0,0,0.98,2.94,0,0,23.56,0,2.94,0.98,0,0,0,0
 84-94,1.06,2.12,0,2.12,0,0,7.43,1.06,2.12,0,0,0,1.06,0
 96-106,0,0,0,4.37,0,0,28.41,3.28,3.28,1.09,0,0,0,0
108-118,0,0.77,0,0,1.53,0,6.89,0,0.77,2.3,0,0,0,0
120,1.96,0,0,1.96,0,0,9.8,0,3.92,1.96,0,0,0,0
