stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,3.15,0,0,9.44,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,39,2,0,2,1,0,33,1,0,0,0,4,0,0,2,20,2,0,0,0,0,0,4,0,4,14,0,2,0,0
 24-34,0,0,0,0,9.85,1.64,0,0,0,2.46,59.92,1.64,0,0,0,6.57,0,0,2.46,32.01,0,0,0.82,0,0,0,0,0,0,10.67,0,4.1,0,0.82
 36-46,0,0,0,0,0.81,4.03,0,0,0,0,75.73,0,0,0,0,7.25,0,0,1.61,24.17,0.81,0,1.61,0,0,0,0,0,0,3.22,0,4.83,0,0
 48-58,0,0,0,1.15,0.57,3.44,0,1.72,0,0.57,90.09,0,0,0,0.57,6.31,0,0,1.15,14.92,1.72,0,1.15,0,0.57,0,0,0.57,0,6.31,0,5.74,0,0
 60-70,0,0,0,0,0,3.93,0,1.96,0,0,115.82,0,0,0,0,11.78,0,0.98,1.96,9.82,1.96,0,0,0,0,0,0,0,0,4.91,0.98,1.96,0.98,0
 72-82,0,0,0,0,0,4.91,0.98,2.94,0,0,155.1,0,0,0,0,6.87,0,0.98,1.96,8.83,0.98,0,0,0,0,0.98,0,0,0,4.91,0,6.87,0,0.98
 84-94,0,0,0,0,0,6.37,0,2.12,0,0,200.73,0,0,0,1.06,6.37,0,1.06,2.12,7.43,0,0,0,0,0,1.06,0,0,0,0,0,6.37,0,0
 96-106,0,1.09,0,0,2.19,4.37,0,3.28,0,0,246.98,1.09,0,0,0,6.56,1.09,1.09,1.09,4.37,0,0,0,0,1.09,4.37,0,0,0,1.09,0,15.3,2.19,1.09
108-118,0,0,0,0.77,1.53,3.06,1.53,2.3,0,0,173.87,0,0.77,0.77,0.77,3.06,0,0,0.77,8.43,1.53,0,0.77,0,0,0.77,0,0,0,1.53,0,5.36,0,0
120,0,0,0,1.96,0,0,0,1.96,0,0,188.14,0,0,0,0,3.92,0,0,0,5.88,1.96,1.96,1.96,0,0,0,0,0,0,1.96,0,5.88,0,0
