stage,blastomeres,eye,glial,iridophores,mesenchyme,neural,olfactory,otic,pronephros,spinal.cord
  3-4,13.18,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0
 14-21,0,0,0,0,0,1,0,0,0,0
 24-34,0,0,0,0,0,1.64,2.46,0,0.82,2.46
 36-46,0,0,0.81,0,0,0.81,4.83,0,0,4.83
 48-58,0,1.15,5.16,0,0.57,2.87,2.87,0,0,6.31
 60-70,0,0.98,3.93,0,2.94,2.94,3.93,0.98,0,4.91
 72-82,0,0,5.89,0,0.98,6.87,11.78,0,0,6.87
 84-94,0,2.12,5.31,0,0,1.06,5.31,1.06,1.06,2.12
 96-106,0,0,3.28,0,0,1.09,8.74,0,0,1.09
108-118,0,0.77,3.06,0.77,0,2.3,9.19,0,0.77,1.53
120,0,0,1.96,0,0,1.96,5.88,0,0,3.92
