stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vasculature
  3-4,13.18,342.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0
  5-6,12.26,165.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,0,7.89,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.17,0,0,0,15.77,2.63,2.63,0,0,0,0,0,0
 10-12,0,3.15,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,6.29,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,1,3,3,5,0,0,0,2,0,2,0,0,0,0,3,2,15,2,0,0,2,1,5,1,1,4,1,0,0
 24-34,0,0,0,0,1.64,0,4.1,0,0.82,0,0.82,0.82,0,0,1.64,0,0,4.93,2.46,7.39,0.82,0,0.82,0,2.46,0.82,0,0,0,3.28,0,1.64
 36-46,0,0,0,0.81,0.81,0,2.42,0,0,0,1.61,0,0,0.81,0,0.81,0,4.83,0.81,4.03,0,0,0,0,0.81,1.61,0,0,0,3.22,0,0.81
 48-58,0,0,0,0,1.72,0,1.15,0.57,0,0.57,0,0,0.57,0,0,0,0,6.89,0.57,4.02,0,0,0,0,1.15,0,0,0.57,0,0,0,0
 60-70,0,0,0,0,0.98,0,0,0,0.98,0,0,0,0,0,0,0,0,0.98,0,5.89,0,0,0.98,0,2.94,0,0,0,0,0.98,0,0
 72-82,0,0,0,0,0,0,1.96,0,3.93,5.89,0.98,0,0.98,1.96,0,0.98,0,16.69,2.94,9.82,0,0.98,0,0,0,0.98,0,0,0,2.94,0,0
 84-94,0,0,0,0,1.06,1.06,4.25,0,0,2.12,3.19,0,4.25,2.12,1.06,0,1.06,7.43,2.12,4.25,1.06,1.06,2.12,0,0,0,0,1.06,0,0,0,0
 96-106,0,0,1.09,0,1.09,1.09,4.37,0,2.19,2.19,1.09,1.09,1.09,2.19,0,0,1.09,12.02,1.09,15.3,0,0,2.19,0,2.19,1.09,0,0,0,0,0,1.09
108-118,0,0,0,0,2.3,0,3.06,0,6.13,3.06,1.53,0,2.3,4.6,1.53,0.77,0,15.32,3.06,18.38,0,0,2.3,0,0.77,0,0,0,0,1.53,0.77,2.3
120,0,0,0,1.96,1.96,0,5.88,0,3.92,3.92,0,0,1.96,3.92,0,0,0,15.68,3.92,35.28,0,1.96,0,0,5.88,0,0,0,0,1.96,0,1.96
