stage,axial,blastomeres,endoderm,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,ionocyte,iridophores,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,somites,spinal.cord,taste,xanthophores
  3-4,131.78,1884.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.6,0,0,0,0,0,0
  5-6,116.46,1225.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,6.13,12.26,0,0,0,0,0,0
  7-9,13.14,10.51,23.66,0,57.83,0,0,0,0,21.03,0,0,0,0,0,0,415.34,7.89,0,0,223.44,0,5.26,0,0,0,0,0
 10-12,0,6.29,9.44,0,15.73,0,0,0,0,3.15,0,0,0,0,0,0,122.73,3.15,0,0,53.5,0,3.15,0,0,0,0,0
 14-21,0,0,1,8,4,0,0,1,0,0,1,0,0,0,3,0,27,0,0,0,0,0,1,4,7,5,0,0
 24-34,0,0,0,0.82,1.64,0,0,0.82,0,0,0,0,0.82,0,1.64,0,10.67,0,0.82,0,0,0,0,0,1.64,4.93,0,0
 36-46,0,0,0,0,5.64,0,0,0,0,0,0,0,0,0,1.61,0,9.67,0,0,0,0,0.81,0,0,0,1.61,0,0
 48-58,0,0,0,0,7.46,0,0.57,0.57,0,0,0,0,0,0,4.02,0.57,5.74,0,0,0,0,0,0,0,0,1.72,0,0
 60-70,0,0,0,0,4.91,0.98,0.98,0.98,0.98,0,0,0,0,0.98,1.96,0,2.94,0,0,0,0,0,0,0,0,0,0,0.98
 72-82,0,0,0,0,8.83,0,0,1.96,0,0,0,0,0,0,5.89,0,0,0,0,0,0,0,0,0,0,0.98,0,0
 84-94,0,0,0,0,2.12,0,0,1.06,0,0,0,0,0,0,2.12,2.12,3.19,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,1.09,2.19,0,0,2.19,0,0,0,0,0,0,3.28,0,1.09,0,0,0,0,0,0,0,0,1.09,0,0
108-118,0,0,0,0.77,1.53,0,0,0,2.3,0,0,0.77,0.77,0,0,0.77,6.89,0,0,0.77,0,0.77,0,0,0,0,0.77,0
120,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,9.8,0,0,0,0,0,0,0,0,0,0,0
