stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature
  3-4,65.89,527.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,404.56,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,18.39,12.26,0,0,0,0,0,0,0
  7-9,5.26,5.26,0,2.63,0,0,5.26,0,0,0,0,13.14,0,0,0,0,0,0,0,0,189.27,5.26,0,0,78.86,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,9.44,0,0,12.59,0,0,0,0,3.15,0,0,0,0,0,0,0,0,166.79,0,0,0,47.2,3.15,0,3.15,0,0,3.15,0,0
 14-21,0,0,2,3,18,4,4,0,0,0,2,0,0,0,1,0,0,0,5,5,38,0,0,5,1,0,4,2,2,10,16,0,0
 24-34,0,0,0,0.82,3.28,2.46,4.93,0,0,0.82,0,0,0,0,0.82,1.64,0,0.82,4.1,0,23.8,0,1.64,2.46,0,9.03,0,0,1.64,0.82,4.93,0,0.82
 36-46,0,0,0,0,3.22,0,4.83,0.81,0,2.42,0,0,0,0,0,0,0.81,0,2.42,0,15.31,0,1.61,1.61,0,5.64,0,0,0,0,2.42,0,0.81
 48-58,0,0,0,0,5.74,0.57,3.44,0.57,0,0.57,0,0,0,0,0,0.57,0,0,1.72,0,5.74,0,1.15,0.57,0,3.44,0,0.57,0,0,1.15,0,0.57
 60-70,0,0,0,0,6.87,0,8.83,0.98,0,0,2.94,0,1.96,0,0.98,0,0,0,1.96,0,7.85,0,3.93,1.96,0,1.96,0,0,0,0,1.96,0,0
 72-82,0,0,0.98,0,6.87,0,7.85,0,0.98,2.94,0.98,0,0,0,0,0.98,0,0,3.93,0.98,7.85,0,3.93,1.96,0,4.91,0,0,0,0,0,0,0
 84-94,0,0,1.06,0,8.5,3.19,7.43,0,0,1.06,2.12,0,0,0,1.06,3.19,0,0,1.06,1.06,3.19,0,0,1.06,0,7.43,0,0,0,0,0,0,0
 96-106,0,0,0,0,1.09,1.09,3.28,1.09,0,3.28,1.09,0,1.09,0,2.19,0,0,0,0,0,4.37,0,2.19,1.09,0,13.11,0,0,0,0,0,0,0
108-118,0,0,0.77,0.77,6.13,1.53,2.3,2.3,0,0,1.53,0,0,0.77,0.77,0.77,0,0,1.53,1.53,3.83,0,1.53,3.06,0,5.36,0,0.77,0,0,0,1.53,0
120,0,0,0,0,1.96,1.96,1.96,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.92,0,0,13.72,0,0,0,0,0,0,1.96
