stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,ionocyte,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,2.63,0,0,0,0,0,0,0,0,0,0,2.63,2.63,0,0,76.23,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,35,0,0,0,0
 24-34,0,0.82,0,0.82,0,0.82,0,0,0.82,0,1.64,0,0,12.31,0.82,0,0,0,0,0,2.46,41.86,0,0,0,0
 36-46,0,0,0,0,0,3.22,0,0,0,0,0,0.81,0,33.03,0,0,0,0,0,0,0,26.59,0,0,0,0
 48-58,0,0,0,0,0,10.9,0,0,1.15,0,4.59,3.44,0.57,40.17,0,0,0,0,0,0,0,39.59,1.15,0,0,0
 60-70,0,0,0,0.98,0,26.5,0,0,0,0,10.8,14.72,0,98.15,0,0,0.98,0,0,0,0,28.46,16.69,0,16.69,0
 72-82,0,2.94,0,0,0,35.34,0,0,1.96,0,12.76,25.52,0.98,170.81,0,0.98,0,0,0,1.96,0,25.52,29.45,0,45.16,0.98
 84-94,0,1.06,0,2.12,0,27.61,1.06,0,3.19,0,5.31,14.87,0,75.4,0,0,0,0,0,0,1.06,19.12,36.11,0,55.23,0
 96-106,0,2.19,0,2.19,1.09,40.44,0,0,7.65,0,10.93,19.67,0,71.04,0,1.09,0,0,1.09,1.09,0,31.69,44.81,0,56.83,0
108-118,0,1.53,0,1.53,0.77,22.21,0,1.53,5.36,0.77,5.36,16.85,0,102.64,0,0,0,0,1.53,0,0,12.26,42.13,0,36,0
120,0,1.96,0,0,0,33.32,3.92,0,7.84,1.96,3.92,13.72,0,170.5,0,0,0,0,3.92,0,0,7.84,27.44,1.96,35.28,1.96
