stage,endoderm,epidermis,erythrocytes,eye,glial,gut,lateral_line,melanocytes,mesenchyme,mural_cell,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,taste,xanthophores
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,15.73,0,0,6.29,0,0,0,0,0
 14-21,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
 24-34,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,1.64,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,1.61,0,0,0,0,0,0,0,0
 48-58,0,0.57,0,0.57,0,0,0,0.57,0,0,2.3,0,0,0,0.57,0,0.57,0,0
 60-70,0,2.94,0,0,0,0,0.98,0,0,0,10.8,0,0.98,0,0,0,0,0,0
 72-82,0,0,0,0,0.98,0,0,0,0,0,5.89,0.98,9.82,0,0,0,0,0,0
 84-94,0,2.12,1.06,0,0,0,0,1.06,0,0,5.31,0,10.62,0,0,0,0,0,0
 96-106,0,2.19,0,0,0,1.09,2.19,0,0,0,0,0,13.11,0,0,0,0,2.19,1.09
108-118,0,0.77,0,0,0,0,0.77,0,0,0,2.3,0,7.66,0,0,1.53,0,0,0
120,0,1.96,0,0,1.96,0,0,0,1.96,1.96,1.96,0,9.8,0,0,0,0,0,0
