stage,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,1,2,11,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,10,1,0,0,0,0,1,17,0,1,3,0,0,4,0,0
 24-34,0,1.64,1.64,3.28,0,0,0,0.82,0,1.64,1.64,0,0,0,0,4.93,0,3.28,29.55,0.82,0,0,0,2.46,0,73.06,0.82,0,7.39,0,0,31.19,0,0.82
 36-46,0,0.81,1.61,5.64,0,0,0,0.81,0,0.81,0,0,0,0,0.81,2.42,0,0.81,31.42,0.81,0,0,0,2.42,0,42.7,0,0,8.86,0,0,9.67,0,0
 48-58,0,1.15,0,4.02,0,0.57,0,2.87,0,0.57,5.74,0,0,0,0.57,4.02,0.57,0,28.69,0,0,0,0,0,0,17.79,0.57,0,5.74,0,0,8.03,0,0
 60-70,0,0,1.96,19.63,0,1.96,1.96,7.85,0,1.96,11.78,0.98,0,0,0,3.93,0,0,40.24,0,0.98,1.96,0,3.93,0,5.89,0,0,1.96,0,0,9.82,0,2.94
 72-82,0,2.94,2.94,18.65,0.98,0.98,0,18.65,0,0.98,15.71,0,0.98,0.98,0,7.85,0.98,1.96,29.45,0,0,0,0.98,3.93,0,2.94,0,0,0.98,0,0,12.76,0,0
 84-94,0,2.12,3.19,11.68,0,0,1.06,13.81,1.06,1.06,30.8,0,0,0,1.06,2.12,0,0,22.3,0,0,2.12,1.06,7.43,0,9.56,0,0,2.12,1.06,0,16.99,1.06,2.12
 96-106,0,5.46,3.28,5.46,0,1.09,0,19.67,1.09,0,31.69,0,0,0,0,15.3,1.09,2.19,24.04,0,0,0,0,3.28,0,2.19,0,0,0,0,0,19.67,0,0
108-118,0,4.6,5.36,9.96,0,0.77,0,15.32,0.77,1.53,36,0,0,0,0,3.83,0,0,16.85,0,0,0.77,0,3.06,0,0,0,0,0,0,0.77,13.79,0.77,0.77
120,0,11.76,7.84,11.76,0,3.92,0,21.56,0,0,39.2,0,0,0,0,9.8,0,3.92,31.36,0,0,0,0,0,0,1.96,0,0,0,0,0,19.6,0,0
