stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching.gland,heart,lateral.line,mesenchyme,mural.cell,muscle,neural,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,xanthophores
  3-4,65.89,1370.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0
  5-6,61.3,980.74,0,0,0,0,0,0,6.13,0,0,0,0,0,30.65,0,6.13,12.26,0,0,0,0,0,0
  7-9,0,5.26,2.63,0,0,15.77,0,0,5.26,0,0,0,0,0,239.21,0,63.09,0,0,0,0,0,0,0
 10-12,0,3.15,3.15,0,0,6.29,0,0,0,0,0,0,0,0,88.12,0,40.91,0,0,6.29,0,0,0,0
 14-21,0,0,0,7,2,2,2,2,0,0,0,4,0,2,48,1,1,1,4,1,7,21,0,0
 24-34,0,0,1.64,0,0,4.1,0.82,0,0,0,0,2.46,0,0.82,42.68,0,0,0,0,0,0,6.57,1.64,0
 36-46,0,0,0,0,0,5.64,0,0,0,0,0,4.03,0,1.61,21.75,0,0,0,0,0,0,5.64,0.81,0
 48-58,0,0,0,0.57,0,8.03,2.87,0.57,0,0,0.57,4.59,0,0,18.94,0.57,0,0,0,0,0,6.89,1.72,0
 60-70,0,0,0,0,0,3.93,0.98,0,0,0,0,1.96,0,0,1.96,0,0,0,0,0,0,0.98,2.94,0
 72-82,0,0,0,0,0,1.96,2.94,0,0,0,0,2.94,0.98,0,10.8,0,0,0,0,0,0,1.96,0,0.98
 84-94,0,0,0,0,0,1.06,0,0,0,0,0,3.19,0,0,4.25,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,1.09,0,0,2.19,0,0,1.09,0,3.28,0,1.09,2.19,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,1.53,0.77,0,0,0,0,2.3,0,0,3.06,0,0,0,0,0,0,0,0.77,0
120,0,0,0,1.96,0,1.96,0,0,0,0,0,1.96,1.96,0,0,0,0,0,0,0,0,0,0,0
