stage,axial,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,6.29,0,0,0,3.15,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,35,5,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,4,0,0,3,1,0,0,0,0,8,0,0,1,3,0,0,14,0,0
 24-34,0,0,22.16,2.46,0,3.28,0,0.82,0,0,0,0,5.75,0,2.46,0,0,0.82,0.82,16.42,0.82,0,0.82,18.06,5.75,0,0.82,0,5.75,1.64,0,1.64,4.93,0,0,80.44,0,0.82
 36-46,0,0,13.7,0.81,0,4.03,0,4.83,0.81,0.81,0,0,0.81,0,0.81,0,0,0,0,9.67,1.61,0,3.22,22.56,4.03,0.81,0.81,0,4.03,1.61,0,0,3.22,0,0.81,45.12,0,0.81
 48-58,0,0,5.74,1.15,0,4.02,0,2.3,0.57,1.72,0,0.57,1.15,0,0.57,0,0.57,0,1.72,9.75,1.15,0.57,2.3,36.72,2.87,0.57,1.15,0,2.3,0.57,0,0,5.74,0,0,30.41,0,2.3
 60-70,0,0,11.78,0.98,0,32.39,2.94,3.93,1.96,10.8,0.98,0.98,0.98,1.96,0,0,0,0,0,20.61,0.98,0,2.94,43.19,2.94,0,0.98,0,8.83,1.96,0,0,11.78,0,0,32.39,0,4.91
 72-82,0,0,10.8,8.83,0,62.83,0,4.91,1.96,30.43,0,0,1.96,3.93,2.94,1.96,0.98,1.96,1.96,35.34,4.91,2.94,3.93,85.4,3.93,1.96,6.87,0,6.87,0.98,0.98,0,17.67,0.98,1.96,48.1,0.98,2.94
 84-94,0,0,36.11,11.68,0,36.11,0,5.31,1.06,9.56,2.12,1.06,0,6.37,4.25,2.12,1.06,0,5.31,19.12,4.25,1.06,3.19,58.41,4.25,1.06,4.25,0,18.05,3.19,1.06,0,6.37,0,1.06,43.54,0,1.06
 96-106,0,0,19.67,16.39,1.09,56.83,0,7.65,1.09,34.97,3.28,0,4.37,8.74,6.56,1.09,0,1.09,2.19,25.14,7.65,2.19,1.09,44.81,6.56,4.37,5.46,1.09,20.76,4.37,0,0,6.56,0,1.09,42.62,1.09,1.09
108-118,0,0,52.85,5.36,5.36,55.92,0.77,26.81,4.6,28.34,5.36,0,0.77,6.13,7.66,11.49,0.77,6.13,6.89,38.3,3.83,3.83,3.06,75.83,8.43,3.06,7.66,3.83,32.94,6.13,0,0,6.13,0.77,0.77,42.13,0.77,8.43
120,0,0,58.79,9.8,0,76.43,3.92,17.64,3.92,31.36,3.92,0,5.88,11.76,11.76,5.88,0,5.88,3.92,35.28,5.88,1.96,3.92,123.47,9.8,1.96,5.88,1.96,27.44,7.84,0,0,7.84,0,0,45.08,7.84,1.96
