stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,1,0,9,2,0,7,0,0,0,1,1,0,1,0,0,0,0,0,0,4,0,0,0,18,2,0,2,0,2,2,1,2,13,0,0,1,0,0
 24-34,0.82,0.82,4.1,0,0,3.28,0,2.46,0,1.64,0,0,0.82,0,0,0,1.64,0,0,7.39,0.82,0.82,3.28,74.7,0,0.82,1.64,0,7.39,0,0,1.64,19.7,0,0,7.39,0,0
 36-46,0,0,3.22,0,0,12.89,0,0,0,3.22,0,0.81,0,0,0.81,0,0,0,0.81,12.89,0,0,2.42,77.34,0.81,0,0.81,0,7.25,0,0,0,20.95,0,0,3.22,0,1.61
 48-58,0,0,0.57,0,0,25.25,0,0,0,5.74,0,0,0,0,0,0,0,0,1.15,10.33,0,1.15,2.3,68.28,0,0,0,0.57,5.74,0,0,0,14.92,0,0,3.44,0,1.72
 60-70,0,0,4.91,0,0,16.69,0,0.98,0.98,8.83,0,0,0,0,0.98,0,0.98,0,0,14.72,0.98,1.96,1.96,60.85,0,0.98,0.98,0,1.96,0,0,0,5.89,0,0,5.89,0,0
 72-82,0,0,3.93,0,0,16.69,0,0.98,0.98,13.74,0.98,0,0,0,0,1.96,2.94,0,0,16.69,0.98,1.96,0.98,44.17,0,0,0,0.98,3.93,0,0.98,0,10.8,0,0,7.85,0.98,1.96
 84-94,2.12,0,6.37,0,0,9.56,0,0,0,15.93,1.06,0,0,0,2.12,0,0,0,4.25,8.5,2.12,2.12,4.25,30.8,0,1.06,3.19,0,10.62,0,1.06,0,1.06,1.06,0,5.31,1.06,0
 96-106,1.09,0,6.56,0,0,7.65,0,2.19,0,14.21,1.09,0,0,1.09,0,0,1.09,1.09,1.09,9.84,0,0,1.09,21.86,0,4.37,1.09,0,24.04,0,0,0,3.28,0,0,4.37,2.19,3.28
108-118,0,0,2.3,0,0.77,12.26,0,3.06,0,5.36,1.53,0,0.77,0,0,0,0,0,2.3,7.66,0.77,0,2.3,13.79,0,1.53,0,0,6.13,0,0,0,2.3,1.53,0.77,4.6,1.53,1.53
120,1.96,0,7.84,0,0,13.72,1.96,0,0,13.72,3.92,0,0,0,0,0,0,0,0,1.96,1.96,0,5.88,23.52,0,1.96,0,0,3.92,0,0,0,1.96,1.96,0,9.8,1.96,3.92
