stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,73.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.54,0,0,0,13.14,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.38,3.15,0,0,25.18,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,11,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,8,0,0,6,32,0,0,0,0,0,1,0,6,2,6,19,0,0,1,0,0
 24-34,0,0,0,7.39,0,0,9.03,0,0.82,0,3.28,0,0,0,0.82,3.28,0.82,1.64,0.82,0.82,15.6,0.82,0,3.28,92.76,1.64,0,0.82,0,0,0,0,0,0.82,4.1,14.78,0,0,0.82,0,0.82
 36-46,0,0,0,5.64,0,0,16.92,0,0.81,0,3.22,0,0,0.81,0,0.81,0.81,0.81,0,0.81,18.53,0,0,8.06,106.35,0,1.61,0.81,0,0,1.61,0,0,0,0,22.56,0,0,2.42,0,4.03
 48-58,0,0,0,4.02,0,0,28.12,0,0,0,12.05,0,0.57,0,0,0,0,0,0,0,24.67,0.57,0.57,5.16,88.94,1.72,1.72,1.15,0,0,1.15,0,0,1.15,0,18.94,0,0,2.87,0,3.44
 60-70,0,0,0,2.94,0,0,49.08,0,1.96,4.91,21.59,0,0.98,0,2.94,0,0,1.96,0,0,39.26,0,2.94,2.94,99.13,0,2.94,0.98,0,0,1.96,0,0,3.93,0,26.5,0,0,7.85,0,3.93
 72-82,0,0,0.98,5.89,4.91,0,51.05,0,1.96,5.89,26.5,1.96,0,3.93,5.89,2.94,2.94,0.98,0,2.94,73.62,1.96,2.94,4.91,100.13,0.98,0.98,1.96,0,0.98,2.94,0,0,0,0,12.76,0,0.98,6.87,0.98,0.98
 84-94,0,0,1.06,8.5,1.06,0,28.68,1.06,0,1.06,14.87,1.06,1.06,0,4.25,2.12,2.12,2.12,0,1.06,38.23,1.06,1.06,3.19,33.99,1.06,1.06,0,0,0,10.62,0,0,0,0,5.31,1.06,0,12.74,1.06,1.06
 96-106,0,0,0,9.84,2.19,1.09,32.79,0,2.19,1.09,12.02,3.28,0,3.28,9.84,1.09,1.09,2.19,0,1.09,37.16,1.09,4.37,7.65,44.81,1.09,5.46,7.65,0,0,13.11,0,0,0,0,0,3.28,2.19,7.65,3.28,3.28
108-118,0,0,0.77,7.66,0,1.53,19.92,0,3.06,0.77,10.72,6.13,0,0,3.83,2.3,4.6,3.83,2.3,1.53,18.38,0.77,1.53,4.6,44.43,1.53,3.06,2.3,0,0,4.6,0,0,0.77,0,0.77,2.3,0.77,4.6,0,1.53
120,0,0,0,11.76,3.92,1.96,7.84,0,3.92,0,11.76,1.96,0,1.96,9.8,3.92,0,3.92,3.92,1.96,27.44,0,0,5.88,43.12,3.92,3.92,5.88,0,0,7.84,0,0,1.96,0,0,0,1.96,1.96,1.96,0
