stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,spinal.cord,taste,vasculature,xanthophores
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,30.65,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,0
  7-9,0,5.26,0,218.18,0,0,15.77,0,0,0,0,128.81,0,0,0,0,0,0,0,0,0,473.17,0,0,7.89,0,0,0,0,0,0,0
 10-12,0,6.29,0,314.7,0,0,9.44,0,0,0,0,122.73,0,0,0,3.15,0,0,0,0,0,1891.33,0,0,34.62,3.15,0,50.35,0,0,0,0
 14-21,0,0,0,7,184,9,0,0,0,0,24,16,0,5,0,0,0,8,1,0,0,13,3,36,0,7,1,31,5,0,0,0
 24-34,0,0,0,4.1,128.87,0,0.82,12.31,0,0,4.93,1.64,0,16.42,11.49,2.46,0,0.82,5.75,0,0.82,58.28,18.06,30.37,0,11.49,0,10.67,7.39,0,1.64,0
 36-46,0,0,0,0,52.37,0,0.81,9.67,0,0,0,2.42,0,3.22,8.06,1.61,0,2.42,5.64,0,0,68.48,7.25,13.7,0,14.5,0.81,4.83,4.83,0,0,0
 48-58,0,0,0,0,43.04,0.57,4.59,8.03,0,1.72,0.57,5.74,0,3.44,6.89,0,0,2.87,8.03,0.57,0,42.46,5.16,10.33,0,6.89,0,1.15,1.15,0,0.57,0.57
 60-70,0,0,0,0,55.95,0,5.89,6.87,0,1.96,2.94,0.98,0.98,1.96,11.78,0,0,0.98,7.85,0,0,33.37,9.82,10.8,0,10.8,0,2.94,0.98,4.91,0,0.98
 72-82,0,0,0.98,0,66.75,0,4.91,7.85,0,2.94,5.89,5.89,2.94,5.89,21.6,0.98,0,3.93,22.58,1.96,0.98,27.49,7.85,17.67,0,8.83,0,0.98,2.94,18.65,0,1.96
 84-94,0,0,0,0,129.57,1.06,4.25,30.8,0,1.06,15.93,9.56,1.06,15.93,15.93,0,0,2.12,13.81,0,1.06,27.61,15.93,11.68,0,15.93,0,14.87,0,48.85,0,0
 96-106,0,0,0,0,123.49,0,5.46,15.3,0,2.19,27.32,2.19,1.09,4.37,27.32,0,0,2.19,14.21,0,0,19.67,16.39,13.11,0,21.86,0,2.19,4.37,43.71,0,0
108-118,0,0,0.77,0,124.09,0,3.06,29.11,0.77,2.3,20.68,0,3.83,12.26,15.32,0,0.77,3.06,10.72,0,0.77,17.62,6.89,15.32,0,11.49,0,8.43,1.53,58.98,0,0
120,1.96,0,0,0,131.31,0,1.96,25.48,0,0,17.64,0,0,13.72,9.8,0,0,0,3.92,0,0,7.84,7.84,13.72,0,21.56,0,11.76,0,15.68,0,0
