stage,endocrine.pancreas,epidermis,eye,glial,gut,ionocyte,lateral.line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pronephros,spinal.cord
 10-12,0,0,0,0,0,0,0,0,0,0,9.44,3.15,0,0,6.29,0,0
 14-21,0,1,0,18,0,0,0,0,1,0,9,0,0,0,0,12,47
 24-34,0.82,0.82,0.82,16.42,0,0,0,0,1.64,0,12.31,0.82,0.82,0,0,7.39,42.68
 36-46,0.81,0,0,10.47,0,0,0,0,0.81,0,14.5,0,0,0,0,2.42,24.17
 48-58,0,0,0.57,20.08,0,0,0,0,0,0,10.33,0,1.15,0,0,2.3,25.25
 60-70,0,0,2.94,25.52,0,0,0.98,0,0,0,12.76,0,3.93,0,0,1.96,23.56
 72-82,0,0,0,23.56,0.98,0,0,0,0,0.98,6.87,0,3.93,0,0,0.98,13.74
 84-94,1.06,0,0,15.93,0,0,0,0,1.06,0,3.19,0,3.19,0,0,3.19,13.81
 96-106,0,0,0,15.3,1.09,0,2.19,0,0,0,3.28,0,4.37,3.28,0,2.19,2.19
108-118,0,0,0,8.43,0,0.77,0.77,0.77,0,0,3.06,0,3.83,1.53,0,3.06,5.36
120,0,0,0,1.96,0,0,0,0,0,0,1.96,0,0,1.96,0,3.92,0
