stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,9,0,0,0,0,0,2,1,3,0,0,7,4,0,1,0,0
 24-34,0,0,1.64,0,0,0.82,0,0.82,0,0,0,0,0,0,0,0,0,0,0,3.28,0,4.1,19.7,0,0.82,0,0,0,2.46,0,0,0,0,0.82,3.28,0,1.64,0,0
 36-46,0,0,0.81,0,0,1.61,0,0,0,0,0,0,0,0,0,0.81,0,0,0.81,4.83,0.81,2.42,13.7,0.81,0.81,0.81,0,0,3.22,0,0,0.81,0,0,3.22,0,1.61,0,0
 48-58,0,0,0,0,0,2.3,0.57,0,0,1.72,0,0,0,0.57,0,0,0,0,0,2.3,0,0.57,4.59,0,0,0,0,0,1.15,0,0,0.57,0,0,0.57,0,0,0,0
 60-70,0,0,0.98,0,0,4.91,0,0.98,0,4.91,0,0,0,0.98,0,0,0.98,0,0,5.89,0,0.98,10.8,0.98,0,0,0,0,0.98,0,0,0,0.98,0,1.96,0,0,0,0.98
 72-82,0,0,0.98,0,0,7.85,0.98,0,0,1.96,0,0,0,0.98,0,0,0,0,0,9.82,0,0,7.85,0.98,0,0,0,0,4.91,0,0,0,0,0,0.98,0,0,0.98,0
 84-94,0,0,0,0,0,3.19,0,0,0,0,0,0,1.06,2.12,0,0,0,0,0,1.06,0,0,4.25,0,1.06,1.06,0,0,9.56,0,0,0,0,0,2.12,0,1.06,1.06,1.06
 96-106,0,0,3.28,1.09,0,4.37,0,0,1.09,6.56,0,0,0,2.19,0,0,1.09,0,0,6.56,0,1.09,7.65,1.09,0,1.09,0,0,3.28,0,0,0,0,0,2.19,0,0,0,2.19
108-118,0,0,0.77,0,0.77,3.06,0,0.77,1.53,2.3,0.77,0,0,0,0.77,1.53,0,0.77,0,5.36,0,3.83,4.6,0,0,0.77,0,0.77,3.06,0,0,0,0,0,0.77,0.77,1.53,0,0.77
120,0,0,1.96,0,0,0,0,0,1.96,3.92,0,0,0,0,0,3.92,0,0,0,1.96,0,0,11.76,0,1.96,0,0,0,1.96,0,0,0,0,0,0,0,0,0,1.96
