stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,1,21,0,0,6,0,1,0,3,1,1,0,2,0,0,0,0,7,0,0,4,89,3,3,2,1,0,0,0,2,0,0,4,30,0,0,1,0,0
 24-34,0,0.82,0,9.85,0,0,11.49,0,2.46,0,5.75,0.82,0.82,0.82,2.46,0,0.82,0,0,10.67,0.82,0,4.1,169.1,1.64,7.39,0.82,0,0,9.03,0,0,0,0,1.64,47.61,0,0,11.49,0,1.64
 36-46,0,0.81,0,2.42,0,0,30.62,0,1.61,0,8.86,0.81,0.81,0,1.61,0.81,0,0,0.81,12.89,0.81,0,4.83,243.31,0.81,2.42,1.61,0,0,5.64,0.81,0,0,0,0,60.43,0,0,4.83,0,0
 48-58,0,0,0,2.87,1.15,0,89.51,1.15,6.31,4.02,24.1,1.15,0,1.15,0,0,1.15,0.57,1.72,22.38,0,1.15,4.59,374.12,0,4.59,0.57,0,0,5.74,0,0,0,0,0,60.25,0,0,1.72,0,0.57
 60-70,0,0.98,0,0.98,0,0,148.21,0,5.89,2.94,34.35,2.94,0,0,0.98,0.98,0.98,2.94,0.98,30.43,0.98,1.96,2.94,453.46,0.98,3.93,1.96,0,0,3.93,0,0,0,0,0,75.58,0,0.98,0.98,0,0
 72-82,0,1.96,0,8.83,0.98,0,155.1,0,7.85,0.98,92.28,26.5,1.96,0,4.91,1.96,1.96,12.76,3.93,76.57,0.98,0.98,5.89,447.64,1.96,8.83,6.87,0,0.98,6.87,0.98,0,0.98,0.98,0,41.23,1.96,0,7.85,1.96,0.98
 84-94,0,2.12,0,16.99,3.19,0,118.95,0,15.93,2.12,74.34,39.3,0,3.19,1.06,3.19,2.12,56.29,1.06,62.66,0,6.37,5.31,226.21,4.25,2.12,8.5,0,2.12,15.93,0,0,0,0,0,27.61,1.06,2.12,4.25,2.12,1.06
 96-106,0,2.19,0,17.49,1.09,0,71.04,1.09,7.65,2.19,65.57,65.57,3.28,2.19,7.65,2.19,0,79.78,2.19,61.2,1.09,1.09,5.46,193.43,1.09,5.46,4.37,0,2.19,14.21,0,0,0,0,0,14.21,0,0,5.46,3.28,1.09
108-118,0,1.53,0,22.21,0.77,1.53,78.13,0,2.3,1.53,85.79,98.04,0.77,3.83,5.36,5.36,1.53,245.87,0.77,63.57,0.77,1.53,3.83,284.17,5.36,6.89,6.13,0,0,9.19,0,0,0,0.77,0,8.43,0,0.77,3.06,2.3,0.77
120,1.96,1.96,0,11.76,1.96,3.92,66.63,1.96,3.92,0,62.71,43.12,0,1.96,1.96,1.96,0,27.44,0,27.44,0,1.96,3.92,207.74,1.96,1.96,1.96,0,0,1.96,0,0,1.96,0,0,9.8,0,0,3.92,0,0
