stage,blastomeres,epidermis,erythrocytes,eye,heart,immune,ionocyte,liver,mesenchyme,muscle,neural,olfactory,periderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,9.44,0,0,0,0,0,0,0,6.29,0,0,22.03,0,0,0,0
 14-21,0,0,170,0,2,7,0,0,0,2,2,0,0,0,0,0,45,0
 24-34,0,0,18.06,0.82,5.75,17.24,0,0,0,0,9.85,0.82,0.82,0,0,0,220.81,0
 36-46,0,0,5.64,0.81,5.64,16.92,0,0,1.61,0,8.86,0,0.81,0,0.81,0,155.49,0
 48-58,0,0,0.57,1.72,6.89,20.66,0,0,0,0,6.89,0,0,0,0.57,0,126.81,0
 60-70,0,0,0,0,5.89,24.54,0,0,1.96,0.98,4.91,0,0,0,0,0,115.82,0
 72-82,0,0,0,0.98,11.78,43.19,0.98,0,4.91,0,5.89,0,0,0,0,0.98,171.79,0
 84-94,0,1.06,3.19,1.06,5.31,50.98,0,0,2.12,0,1.06,0,0,0,0,1.06,127.44,0
 96-106,0,1.09,4.37,1.09,8.74,73.22,0,0,2.19,1.09,1.09,0,0,0,0,0,150.81,0
108-118,0,0.77,0.77,0.77,1.53,58.98,0,0.77,2.3,0,3.06,0,0.77,0.77,0,0,103.41,1.53
120,0,0,3.92,1.96,1.96,103.87,0,0,0,0,3.92,0,1.96,0,0,0,101.91,0
