stage,axial,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fin.mesenchyme,glial,gut,heart,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,paraxial.mesoderm,pericytes,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  5-6,6.13,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,2.63,2.63,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,3,0
 24-34,0,0,0,0,0,0,0,0,0,1.64,0,0,0,3.28,9.03,0,0,0,0,0.82,0.82,0,4.93,0
 36-46,0,0,0.81,0,0,0,0,0,0,0.81,0,0.81,0,0,5.64,0,0,0,0,0,0.81,0,9.67,0
 48-58,0,0,0,0,0,0.57,0,0.57,0,1.15,0,2.87,0.57,0,6.89,0,0,0,0.57,0,0,0,21.8,0
 60-70,0,0,0,0,0,0.98,0,0.98,0,4.91,0,1.96,1.96,0,3.93,0,0,1.96,0,0,0,1.96,34.35,0
 72-82,0,0,0,0,0,2.94,0.98,0,0,8.83,0.98,15.71,3.93,0,2.94,0,0,1.96,0,0,0.98,0,72.64,2.94
 84-94,0,0,2.12,0,0,1.06,0,1.06,0,9.56,0,8.5,5.31,0,3.19,0,0,3.19,2.12,0,1.06,1.06,87.09,3.19
 96-106,0,0,1.09,1.09,0,2.19,1.09,1.09,1.09,6.56,0,13.11,7.65,2.19,5.46,0,0,6.56,4.37,0,0,1.09,101.63,5.46
108-118,0,0,0.77,0.77,0.77,0,0,0,0,9.19,0,12.26,9.19,0,2.3,0,0,5.36,2.3,0,0,0.77,88.85,5.36
120,0,0,3.92,0,0,3.92,0,0,0,9.8,0,1.96,9.8,0,1.96,0,0,1.96,0,0,0,0,88.19,3.92
