stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,iridophores,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic_mesoderm,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,5,0,0,1,0,0,0,0,1,0,0,0,2,0,1,13,0,0,0,0,3,2,5,0,0,0
 24-34,0,0.82,0.82,0,0,6.57,0,0,2.46,0.82,0,0,0,0,4.93,0,0.82,41.86,0,0,0,0,0,0.82,9.85,0,0,0
 36-46,0,0,0.81,0,0,6.45,0,0,1.61,0,0,0,0,0,6.45,0,0.81,33.03,0,0,0,0,0,0,6.45,0.81,0.81,0
 48-58,0,0,0,0,0,17.79,0.57,0,5.16,0.57,0,0,0,0,3.44,0.57,0.57,39.59,0,1.72,0.57,0,0,0,12.62,0,0.57,0
 60-70,0,0,0,0,0,16.69,0,0,4.91,0,0,0,0.98,0,5.89,0,0.98,20.61,0,0,0,0,0,0,3.93,0,0,0
 72-82,0,0,0,0,0,15.71,0,0,4.91,0,0,1.96,0,0,4.91,0,0.98,47.12,0,1.96,0,0,0,0,1.96,0,0.98,0.98
 84-94,0,0,0,0,1.06,5.31,0,1.06,4.25,0,0,1.06,0,0,5.31,0,0,9.56,1.06,0,0,1.06,0,0,1.06,1.06,2.12,0
 96-106,0,0,3.28,1.09,0,4.37,0,0,5.46,0,0,0,0,0,2.19,0,0,9.84,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0.77,0,0,6.13,0,0,0,0.77,0,0,0,0,1.53,0,0,10.72,0,0,1.53,1.53,0,0,0.77,0,0,0
120,0,0,0,1.96,0,0,0,0,3.92,0,0,1.96,0,1.96,1.96,0,0,13.72,0,0,1.96,0,0,0,0,0,0,0
