stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,408.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,257.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.8,2.63,0,0,7.89,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.76,0,0,0,6.29,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,5,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,76,0,1,0,0,0,0,0,0,0,0,2,34,0,0,0,0,0
 24-34,0,0,0.82,0,1.64,0,0,7.39,0,0,0,2.46,0,0,0,0,0,0,0,0,10.67,0,0.82,222.45,0,5.75,1.64,0,0,0,0,0,0.82,0,0,49.25,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,23.36,0,0,0,7.25,0,0,0,0,0,0,0,0,2.42,0,0.81,291.65,0,8.86,0,0,0,1.61,0,0.81,0,0,0,53.98,0,0,0.81,0,0
 48-58,0,0,0,0,1.15,0.57,0,60.82,0.57,0,0.57,5.74,0,0,0,0,0,0,0,0,8.03,0,1.72,254.77,0,3.44,0,0,0,0,0,0,0,0,0,56.23,0,0,0.57,0,1.15
 60-70,0,0,0,0,0,0,0,186.49,0,0.98,0,15.7,0,0,0,2.94,0,0.98,0,0.98,5.89,0,1.96,402.42,0.98,1.96,0.98,0,0,1.96,0,0,0,0,0,52.02,0,0.98,0,0,0.98
 72-82,0,0,1.96,0,2.94,1.96,0,243.45,0.98,0.98,0.98,21.6,0.98,0,0.98,0,0,0.98,0,0,21.6,1.96,1.96,430.95,0,15.71,0.98,0,0,0,0,0,0,0.98,0,35.34,1.96,0,0.98,1.96,0
 84-94,0,0,0,0,6.37,0,0,113.64,0,0,2.12,9.56,0,0,1.06,1.06,1.06,4.25,1.06,0,9.56,0,0,232.59,0,4.25,2.12,0,0,1.06,0,0,1.06,0,0,21.24,0,0,2.12,0,0
 96-106,0,0,0,0,6.56,0,0,112.56,0,0,0,4.37,0,0,0,0,0,3.28,0,0,8.74,0,1.09,217.48,0,8.74,2.19,0,0,3.28,0,0,0,0,0,16.39,0,1.09,1.09,1.09,1.09
108-118,0,0,0,0,2.3,0,0.77,85.02,0,0,0,8.43,0,0,0,0,0,9.96,0.77,0.77,7.66,0,0,224.43,0,6.13,0,0,0.77,0.77,0,0,0,0,0,6.13,0,0,1.53,0.77,0.77
120,0,0,0,0,5.88,0,0,84.27,0,1.96,0,13.72,0,0,0,0,0,3.92,1.96,1.96,1.96,1.96,0,329.24,0,1.96,0,0,0,3.92,0,0,0,0,0,9.8,0,0,0,0,0
