stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,52.71,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,128.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,2.63,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,39.43,2.63,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,44.06,0,0,0,12.59,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,1,0,13,4,5,1,0,4,3,2,0,0,0,1,0,7,0,8,55,5,2,1,0,0,1,5,4,5,30,0,0,1,0,0
 24-34,0,0,0,0,7.39,1.64,7.39,0,0,1.64,0,0,0,0,0,0,0,10.67,0,2.46,55,0,2.46,0.82,0,0,0.82,0,0.82,0,13.95,0,0,3.28,0,0
 36-46,0,0,0,0,0,0,24.98,0,0,0.81,0,0,0,0,0,0,0,9.67,0,2.42,91.04,0,4.03,0.81,0,0,3.22,0,0,0,18.53,0,0,0.81,0,0
 48-58,0,0,0,0,0,0,38.44,0,1.72,2.87,0,1.15,0,0,0,0.57,0,12.62,0.57,2.87,81.48,0,1.72,1.15,0,0,1.72,0,0,0,9.18,0,0,1.15,0,0
 60-70,0,0,0,0,1.96,0,95.21,0,0,1.96,0,0,0,0,0,0,0,20.61,0,1.96,138.39,0,5.89,0.98,0,0,0,0,0,0,13.74,0,1.96,0,0.98,0
 72-82,0,0,0,0,1.96,1.96,65.77,0.98,0,3.93,0,0,0.98,0,0,0,0,32.39,0.98,2.94,117.8,0,5.89,1.96,0,0,0,0,0,0,12.76,0,0,2.94,0.98,0
 84-94,0,0,0,0,2.12,0,24.43,0,1.06,1.06,0,1.06,1.06,3.19,0,0,1.06,18.05,2.12,1.06,62.66,1.06,5.31,0,0,0,1.06,0,0,0,3.19,0,0,0,0,0
 96-106,0,0,1.09,0,4.37,1.09,14.21,1.09,1.09,9.84,0,1.09,1.09,0,0,1.09,2.19,14.21,0,1.09,50.27,0,9.84,1.09,0,0,1.09,0,0,0,3.28,1.09,1.09,5.46,0,0
108-118,0,0,0.77,0,0.77,0,19.92,0.77,0,3.06,0.77,0,0,0.77,0.77,1.53,1.53,14.55,0.77,1.53,63.57,0,5.36,1.53,0,0.77,0.77,0,0.77,0,4.6,1.53,0,0.77,0,0.77
120,0,0,0,0,0,0,15.68,1.96,0,0,0,0,0,1.96,0,0,0,13.72,0,1.96,68.59,0,7.84,1.96,0,0,0,0,0,0,3.92,0,0,0,0,0
