stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching_gland,immune,ionocyte,lateral_line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature
  3-4,672.07,13678.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,461.23,0,0,0,0,0,0
  5-6,662,7269.75,0,12.26,0,0,0,0,0,18.39,0,0,0,0,0,0,190.02,6.13,0,0,67.43,98.07,0,0,0,0,0,0
  7-9,39.43,21.03,0,49.95,0,0,139.32,0,0,47.32,0,0,0,0,0,0,1117.2,10.51,0,0,320.7,2.63,10.51,0,2.63,0,0,0
 10-12,0,15.73,0,15.73,0,0,91.26,0,0,28.32,0,0,0,0,0,0,383.93,9.44,0,0,88.12,0,6.29,0,6.29,0,0,0
 14-21,0,0,0,3,4,5,5,0,1,1,0,0,0,3,5,0,26,1,0,3,0,0,3,5,0,2,2,1
 24-34,0,0,0,0.82,0.82,0,0.82,0,0,0,0,0.82,0.82,0,1.64,0.82,8.21,0.82,0,0.82,0,0,0,0,0,0,1.64,0
 36-46,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0.81,1.61,0.81,0,0,0,0,1.61,0,0,0,1.61,0
 48-58,0,0,0.57,0,1.15,0,1.15,0,0,0,0,0,0.57,0,1.15,0.57,11.48,0,0,0.57,0,0,0.57,0,0,0,0.57,0
 60-70,0,0,0,0,0.98,0,1.96,0,0,0,0,0,0,0,0.98,0,14.72,0,1.96,0,0,0,0,0,0,0,0.98,0
 72-82,0,0,0,0,0,0,2.94,0.98,0.98,0,0.98,0,0,0,0.98,0,8.83,0,0,1.96,0,0,0.98,0,0,0,0,0
 84-94,0,0,0,0,0,0,2.12,1.06,0,0,0,0,0,0,1.06,0,2.12,0,0,0,0,1.06,0,0,0,0,0,0
 96-106,0,0,0,0,1.09,0,1.09,0,1.09,0,0,0,0,0,0,0,0,0,0,0,0,0,2.19,0,0,0,1.09,0
108-118,0,0,0.77,0.77,0,0,0,0,0.77,0,0,0,0,0,0,0,3.06,0,0.77,0,0,0,0.77,0,0,0,0.77,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.88,0,0,1.96,0,0,0,0,0,0,0,0
