stage,axial,blastomeres,epidermis,eye,glial,gut,immune,lateral.line,mesenchyme,neural,olfactory,paraxial.mesoderm,periderm,spinal.cord,taste
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,79.07,0,0
  5-6,6.13,42.91,0,0,0,0,0,0,0,0,0,0,269.7,0,0
  7-9,2.63,2.63,0,0,0,0,0,0,0,23.66,0,5.26,60.46,0,0
 10-12,0,0,0,0,0,0,0,0,0,12.59,0,9.44,15.73,0,0
 14-21,0,0,0,0,0,0,0,0,1,4,0,0,20,0,0
 24-34,0,0,0,0.82,0,0,0,0,0,1.64,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,2.42,0,0,0,0.81,0
 48-58,0,0,0,0.57,0,0,0,0,0,2.87,0,0,0,1.15,0
 60-70,0,0,0,0,0,0.98,0,0.98,0,0.98,1.96,0,1.96,0,0
 72-82,0,0,0,1.96,0,0.98,0.98,0,0,0,1.96,0,0,0,0
 84-94,0,0,0,1.06,0,8.5,1.06,0,0,1.06,3.19,0,1.06,0,0
 96-106,0,0,0,0,1.09,2.19,1.09,0,1.09,0,6.56,0,1.09,0,1.09
108-118,0,0,0.77,0,0.77,1.53,0,0,0,0,3.83,0,0.77,0.77,0.77
120,0,0,1.96,1.96,0,1.96,0,0,0,0,0,0,1.96,0,0
