stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,lateral.line,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature
  3-4,13.18,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,28.92,0,0,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,3.15,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,3,0,0,3,0,1,0,1,0,1,3,0,0,0
 24-34,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,1.64,0,0,2.46,0,0,25.45,0,0.82,0,0.82,0.82,0,0.82,0,0,0
 36-46,0,0,0,0,0,0,1.61,0,0,0,0,0,0,0,0.81,0,0.81,8.86,0,0.81,24.98,0,0,0,0,0,0,3.22,0,0,0
 48-58,0,0,0,0,1.15,0,1.72,0,0,0,0,0,0,0,5.74,0,0,6.31,0,0.57,26.97,0,0,0,0,0,0,1.72,0,0,0.57
 60-70,0,0,0,0,0.98,0,7.85,0,0,0.98,0,0,0,0,4.91,0,0.98,13.74,0.98,0.98,24.54,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0.98,5.89,0,8.83,0,0,2.94,0,0,0,0.98,6.87,0,0,7.85,0,0,46.14,0,0,0,0,0,0,2.94,0.98,0,0
 84-94,0,0,0,1.06,9.56,0,3.19,0,0,2.12,1.06,0,1.06,0,6.37,0,0,5.31,0,0,44.61,0,1.06,0,0,0,0,1.06,0,0,0
 96-106,0,0,0,4.37,8.74,1.09,5.46,1.09,0,1.09,0,1.09,1.09,0,4.37,0,1.09,7.65,0,0,42.62,0,4.37,0,0,1.09,0,0,1.09,0,0
108-118,0,0,0,1.53,6.13,0,0.77,0.77,1.53,2.3,0,0,0,0,4.6,0.77,0,3.83,0.77,0,36,0,1.53,0,0,0,0,0,0,0.77,0
120,1.96,0,0,1.96,5.88,0,1.96,0,0,0,0,0,0,1.96,5.88,0,0,9.8,1.96,0,39.2,0,0,0,0,0,0,1.96,0,0,0
