stage,epidermis,erythrocytes,exocrine.pancreas,eye,fin.mesenchyme,glial,gut,immune,iridophores,lateral.line,liver,mesenchyme,mural.cell,neural,notochord,otic,periderm,pronephros,spinal.cord,vasculature,xanthophores
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,8.21,0,0,0,0,0,0,0,0,0,0,0,0,0,20.52,0,0,0
 36-46,0,0,0,12.09,0,0,0,0,0,0,0,0,0,0.81,0,0,0,16.92,0.81,0,0
 48-58,0,0,0,46.48,0.57,0.57,0,0,0,0,0,0,0,1.15,0,0,0,14.92,0,0,0
 60-70,0,0,0,322.92,0,0,0,0,0,0,0,0.98,0,0,0,0,0,17.67,0.98,0,0.98
 72-82,0,0,0,418.19,0,1.96,0,0,0,0,0.98,1.96,0.98,7.85,0,0,0.98,20.61,0.98,0,0.98
 84-94,0,0,0,390.83,0,6.37,1.06,0,0,1.06,0,3.19,0,7.43,0,0,1.06,35.05,0,0,0
 96-106,1.09,2.19,0,181.41,0,2.19,0,1.09,0,0,1.09,2.19,0,4.37,0,0,0,36.06,0,0,0
108-118,0,0,0.77,133.28,0,0.77,0,0,0,0,0.77,1.53,0,1.53,0.77,0.77,0,33.7,0,0.77,0
120,3.92,0,0,109.75,0,0,0,0,1.96,0,0,1.96,0,5.88,0,0,0,25.48,0,0,0
