stage,epidermis,erythrocytes,eye,fast.muscle,glial,immune,ionocyte,mesenchyme,neural,olfactory,otic,spinal.cord,vasculature
 14-21,0,0,0,0,0,0,0,0,7,0,0,4,0
 24-34,0,0,0.82,0,0,0,0.82,0.82,12.31,0,0.82,3.28,0
 36-46,0,0,4.83,0,0.81,0,0,0,15.31,0,0,4.83,0
 48-58,0,0,5.74,0,1.15,0,0,0.57,26.4,0,0,5.74,0.57
 60-70,0,0,4.91,0,0.98,0,0,0,12.76,0,0,4.91,1.96
 72-82,0,2.94,16.69,0,0,0,0,0,38.28,0,0,0,0
 84-94,0,0,5.31,0,1.06,0,0,0,12.74,1.06,0,0,0
 96-106,1.09,1.09,3.28,0,0,0,0,1.09,6.56,0,0,1.09,0
108-118,0,0,6.13,0,0,0.77,0,0,9.19,0,0,0,0
120,0,0,3.92,1.96,0,0,0,0,25.48,0,0,0,0
