stage,blastomeres,epidermis,eye,fast.muscle,glial,heart,immune,mesenchyme,mucous,muscle,neural,notochord,olfactory,periderm,pronephros,slow.muscle,spinal.cord,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,2,8,0
 24-34,0,0,0,0,0,0.82,0,4.1,0.82,4.93,12.31,0,0.82,1.64,0,4.1,8.21,3.28
 36-46,0,0.81,0.81,0.81,0,0,0,4.03,0,0.81,11.28,0,0,0.81,0,2.42,8.86,0.81
 48-58,0,0,1.15,3.44,0,0,0,3.44,0,2.3,4.59,0.57,0,0.57,0,4.02,3.44,0.57
 60-70,0,0,2.94,0.98,0,0,0,1.96,0,0.98,3.93,0,0,0,0,1.96,0.98,0
 72-82,0,0,6.87,0.98,1.96,0,0,1.96,0,0,10.8,0,0,0,0,0,0.98,0
 84-94,0,2.12,0,4.25,1.06,0,0,4.25,0,0,3.19,0,0,0,0,0,0,1.06
 96-106,0,0,1.09,4.37,0,0,0,3.28,0,0,5.46,0,0,0,0,0,0,1.09
108-118,0,0.77,1.53,3.83,0.77,0,0,0.77,0,1.53,3.06,0,0,0.77,0,1.53,0,0.77
120,0,0,5.88,1.96,1.96,0,1.96,5.88,0,1.96,9.8,0,0,0,0,0,0,0
