stage,axial,blastomeres,erythrocytes,eye,fin_mesenchyme,immune,mesenchyme,neural,spinal_cord,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,2.63,0,0
 10-12,0,0,0,0,0,0,0,3.15,0,0
 14-21,0,0,0,0,0,0,0,0,2,0
 24-34,0,0,0,0.82,0,0,0,4.1,1.64,0
 36-46,0,0,0,0,0,0,0,2.42,0.81,0
 60-70,0,0,0,0.98,0.98,0,0,0.98,0,0
 72-82,0,0,0,0.98,0,0,0,0.98,0,0
 84-94,0,0,2.12,4.25,0,1.06,0,0,0,0
 96-106,0,0,0,0,0,6.56,1.09,0,0,0
108-118,0,0,3.83,0,0,4.6,0,1.53,0,1.53
120,0,0,3.92,1.96,0,7.84,0,1.96,0,0
