stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,13.18,184.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,128.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,12.26,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,21.03,0,0,0,10.51,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,22.03,3.15,0,0,22.03,0,3.15,3.15,0,0,0,0,0,0
 14-21,0,0,1,0,3,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,3,26,1,1,0,1,0,0,0,0,5,7,0,0,0
 24-34,0,0,0,0.82,5.75,0,0,4.1,0,0.82,0,0,0,0,0,0,0.82,0,0,0,9.85,0,0,4.93,60.74,0.82,2.46,0.82,0,3.28,0,0.82,0,0.82,13.95,0,0,0
 36-46,0,0,0,0,2.42,0,0,12.89,0,0,0,0.81,0,0,0,0,0.81,0,0,0,8.06,0,0,3.22,102.32,0.81,0,0,0,2.42,0,0,0,0,18.53,0,1.61,0.81
 48-58,0,0,0,0,1.72,0,0,16.07,0.57,0.57,0,5.74,0,0,0,0.57,0.57,0,0,0,8.61,0.57,0,0.57,77.46,0,0,0.57,0,0.57,0,0,0,0,6.89,0,0.57,0.57
 60-70,0,0,0,0,1.96,0.98,0,47.11,0,0,0,4.91,0,0,0,0,0.98,0.98,0,0,11.78,0,0.98,0.98,115.82,0,0.98,0,0,2.94,0,0,0,0,13.74,0.98,0.98,0
 72-82,0,0,0.98,0,2.94,4.91,0,47.12,0.98,0,1.96,11.78,0,0,0,0,0,0,0,0,16.69,0.98,0,0,98.17,0,0.98,0,0,2.94,0,0,0.98,0,7.85,0,1.96,1.96
 84-94,0,0,1.06,0,1.06,2.12,0,24.43,1.06,1.06,3.19,5.31,1.06,0,1.06,0,0,0,1.06,0,11.68,0,0,0,36.11,1.06,1.06,0,0,9.56,0,0,0,0,2.12,0,2.12,1.06
 96-106,0,0,0,0,3.28,1.09,0,19.67,0,1.09,0,7.65,2.19,0,1.09,1.09,2.19,1.09,0,0,8.74,0,0,0,30.6,1.09,0,3.28,0,2.19,0,0,0,0,0,1.09,1.09,0
108-118,0,0,0,0,6.13,1.53,0,21.45,0,0,0.77,5.36,0,0,0,0.77,0.77,0,0.77,1.53,9.19,0.77,0,2.3,34.47,0.77,0,0,0,3.06,0,0,0,0,0.77,0.77,0,0.77
120,0,0,1.96,0,9.8,0,1.96,31.36,0,3.92,1.96,9.8,1.96,0,0,1.96,1.96,1.96,0,0,11.76,0,0,1.96,64.67,0,0,1.96,0,1.96,0,0,0,0,3.92,0,3.92,0
