stage,epidermis,eye,glial,immune,iridophores,melanocytes,mesenchyme,neural,pronephros,spinal.cord,xanthophores
 14-21,0,0,0,0,0,7,1,6,1,5,3
 24-34,0.82,1.64,0,0,0.82,12.31,6.57,13.95,0.82,0.82,11.49
 36-46,0,0,0,0,0.81,8.06,3.22,1.61,0,0,10.47
 48-58,0,0,0,0,1.15,3.44,0,2.87,0,0,2.87
 60-70,0,0,0,0,4.91,3.93,0,0.98,0.98,0,0
 72-82,0.98,0,0,0,7.85,3.93,1.96,4.91,0,0,0.98
 84-94,1.06,0,1.06,0,8.5,6.37,0,3.19,0,0,0
 96-106,0,0,0,0,5.46,2.19,0,1.09,0,0,1.09
108-118,0,0,0,0.77,4.6,3.06,0,0,0,0,0.77
120,0,0,0,0,3.92,1.96,0,0,0,0,0
