stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,lateral.line,liver,melanocytes,mesenchyme,neural,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,slow.muscle,spinal.cord,taste,vasculature
  7-9,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0
 14-21,1,0,0,0,0,0,0,14,0,2,0,0,0,0,8,2,1,2,0,0,15,0,44,0,0
 24-34,0,0,0,0,0,0,0,15.6,0,0,0,0,0,0.82,6.57,13.95,2.46,0,0.82,0,9.03,0.82,43.51,0,0.82
 36-46,0,0,0,0,0,0,0,12.09,0,0,0,0,0,0,8.86,9.67,0,0,0,0,4.03,0,21.75,0,0
 48-58,0,0,0,0,1.72,0,0,10.33,0,0,1.15,0,0,0.57,11.48,10.33,3.44,0,0,0,1.72,0,25.82,0,0
 60-70,0,0,0,0,0.98,0,0,14.72,0,0,3.93,0,0,0,12.76,25.52,5.89,0,0.98,0,0.98,0,10.8,0,0
 72-82,0.98,0,0,0,4.91,0,0,23.56,0,0,3.93,0,0,0,13.74,43.19,12.76,0,0,0,0,0,12.76,0,0
 84-94,0,0,0,0,5.31,0,1.06,15.93,0,0,6.37,0,0,1.06,10.62,24.43,8.5,0,0,1.06,2.12,0,9.56,0,0
 96-106,1.09,2.19,1.09,0,3.28,0,0,18.58,1.09,0,6.56,0,1.09,0,8.74,61.2,19.67,0,1.09,0,5.46,0,4.37,0,0
108-118,0,0,0,0.77,2.3,0.77,0,4.6,0,0,6.13,0.77,0,0.77,5.36,39.06,13.79,0,0,0,1.53,0,3.06,0.77,0
120,0,0,0,0,1.96,0,0,3.92,0,0,5.88,0,0,0,11.76,17.64,9.8,0,0,1.96,1.96,0,1.96,0,0
