stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
 14-21,0,0,3,1,0,0,0,0,0,0,1,1,0,0,0,17,0,0,227,9,1,0,0,0,1,20,0,494,2,0,0,0,0
 24-34,0,0,5.75,0,2.46,0,0,7.39,11.49,0,0,0,0,0,0.82,75.52,0.82,0,202.75,18.06,0,0,0,0,1.64,0,0,79.62,8.21,0,0,0.82,0
 36-46,0,0,3.22,0,3.22,0,0.81,10.47,15.31,0,0,0,0,0,0,120.85,0,0,108.77,19.34,0,0.81,0,0,0,0,0,0.81,4.03,0,0.81,0,0
 48-58,0,0,1.72,0.57,7.46,0,2.87,8.61,13.77,0,0,0,0,0,0,163.53,0.57,0,86.64,16.07,0,0,0,0,0,0,0,0,3.44,0,0,0,0
 60-70,0,0,3.93,0,3.93,0.98,3.93,18.65,1.96,0,0,0,0,0,0,187.47,0,0,46.13,21.59,0,0,0,0,0,0,0,0,2.94,0,2.94,0,0
 72-82,0,0,0.98,0,25.52,0,0.98,33.38,9.82,0,0,0,0,1.96,0,338.67,0,0.98,74.61,23.56,0,0,0,2.94,0.98,0,0,0,0.98,0.98,11.78,0,0
 84-94,0,0,4.25,0,36.11,1.06,0,27.61,7.43,1.06,0,2.12,0,0,0,234.71,0,1.06,39.3,16.99,1.06,0,0,0,0,0,1.06,0,4.25,2.12,8.5,1.06,1.06
 96-106,0,0,3.28,0,14.21,0,0,14.21,7.65,2.19,2.19,1.09,0,0,0,238.24,0,0,26.23,25.14,1.09,0,0,2.19,3.28,0,1.09,0,2.19,0,14.21,1.09,2.19
108-118,0,0.77,1.53,0,16.09,0,1.53,15.32,6.13,0,0.77,1.53,0.77,0,0,259.66,0.77,1.53,29.87,26.04,1.53,0,0.77,1.53,0,0,0,0,0,0,7.66,2.3,0.77
120,1.96,0,3.92,0,5.88,0,3.92,9.8,3.92,0,1.96,0,0,0,0,260.65,0,3.92,39.2,25.48,0,0,1.96,0,1.96,0,0,0,1.96,0,7.84,0,0
