stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,474.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,116.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,2.63,0,0,5.26,0,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,50.35,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,4,3,1,7,0,0,0,0,0,5,0,0,0,0,0,0,0,9,0,0,5,131,2,0,0,0,0,1,0,1,0,2,39,0,0,2,0,2
 24-34,0,0,3.28,0,5.75,3.28,23.8,0,0.82,0,1.64,0,3.28,0.82,0,0.82,0,0.82,0,0,22.98,0,0,5.75,279.09,0,12.31,4.1,0,0,0.82,0,0,0,1.64,75.52,0,0,5.75,0,32.83
 36-46,0,0,0.81,0,0,0.81,33.84,0,0,0.81,3.22,0,0,0,0,0,0,0,1.61,0,17.72,0.81,0.81,4.03,263.45,0,33.84,3.22,0,0,0,0,0,0,0,83.79,0,0,3.22,0,60.43
 48-58,0,0,1.15,0.57,2.3,1.15,44.18,0.57,0,1.72,6.89,0,1.15,0.57,0,0,0.57,1.15,0.57,5.16,17.21,0,0.57,4.02,249.03,0.57,23.53,2.3,0,0,0,0,0,0,0,68.86,0,0,1.15,0,77.46
 60-70,0,0,1.96,0.98,3.93,1.96,215.93,0,0,2.94,24.54,0.98,0.98,0,0,0,2.94,1.96,0,7.85,25.52,0,0.98,1.96,427.94,0,27.48,6.87,0,0,0.98,0,0,0,0,103.06,0,1.96,3.93,0,132.51
 72-82,0,0,10.8,1.96,13.74,32.39,484.94,0,0,3.93,55.95,5.89,1.96,1.96,0,0,20.61,1.96,0.98,10.8,62.83,1.96,0.98,5.89,494.76,0,39.27,20.61,0,0.98,0.98,0,0,0,0,76.57,3.93,0.98,11.78,0.98,137.43
 84-94,0,0,6.37,2.12,9.56,32.92,417.38,0,2.12,3.19,31.86,5.31,0,1.06,0,0,33.99,5.31,0,12.74,42.48,0,4.25,6.37,270.82,0,30.8,21.24,0,0,0,0,0,1.06,0,35.05,4.25,1.06,7.43,2.12,134.88
 96-106,0,0,6.56,0,12.02,22.95,455.72,1.09,5.46,2.19,68.85,8.74,0,0,2.19,3.28,52.46,13.11,3.28,8.74,63.39,0,3.28,2.19,273.21,2.19,49.18,30.6,0,1.09,4.37,1.09,0,0,0,28.41,8.74,2.19,10.93,5.46,137.7
108-118,0,0,5.36,1.53,19.15,11.49,356.17,0.77,3.06,3.06,50.55,4.6,0,3.06,0,0.77,72.77,4.6,1.53,9.96,55.92,0,3.83,6.89,324.77,1.53,36,20.68,0,0.77,3.06,0,0,0.77,0,22.21,10.72,0,7.66,0.77,105.7
120,0,0,9.8,0,19.6,13.72,221.46,0,1.96,5.88,54.87,19.6,0,7.84,1.96,0,39.2,7.84,1.96,3.92,62.71,1.96,3.92,7.84,380.2,1.96,39.2,27.44,0,0,1.96,0,0,1.96,0,23.52,7.84,0,13.72,1.96,45.08
