stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,1,1,6,5,0,8,0,0,0,0,0,1,0,0,2,0,0,0,13,0,5,31,2,0,0,1,0,0,8,0,4,32,6,0,1,0,0
 24-34,0,0,0.82,0.82,0,63.21,0,0,0,0.82,0,2.46,0,0,14.78,0,0.82,22.16,21.34,0,2.46,41.86,0,0,0.82,0,0.82,0,0,0,2.46,0.82,20.52,0,26.27,0,7.39
 36-46,0,0.81,0.81,0.81,0,47.53,0,0,0.81,0.81,0,0,0,0,17.72,0,0,22.56,4.83,0,0,51.56,0,0,0,0,0.81,0,0,1.61,0,0,44.31,0,16.11,0,1.61
 48-58,0,0,0.57,0,0,131.4,0,0.57,1.72,1.15,0,0,0,0,29.26,1.15,0.57,25.82,4.02,1.15,1.15,103.86,0,0,0.57,0,1.15,0,0,0,0.57,0,36.72,0.57,12.62,0,8.61
 60-70,0,0,2.94,0,0,364.14,0,0,8.83,0,0.98,1.96,0,0,40.24,0.98,0,12.76,3.93,0,0,158.03,0,0,0,0,0,0.98,0,0,0,0,11.78,1.96,9.82,1.96,6.87
 72-82,1.96,0,0.98,1.96,0,442.73,0.98,0,16.69,0,0,4.91,0,0,47.12,0.98,0,14.72,14.72,2.94,0.98,181.61,0,0.98,0,0,1.96,0,0,0,0,0,3.93,0,7.85,1.96,9.82
 84-94,0,0,5.31,3.19,0,315.43,0,0,11.68,1.06,0,1.06,1.06,0,57.35,3.19,0,24.43,14.87,4.25,2.12,97.71,0,1.06,1.06,0,0,2.12,0,0,0,0,3.19,1.06,11.68,3.19,8.5
 96-106,0,0,4.37,1.09,0,278.68,0,0,13.11,3.28,0,3.28,1.09,0,71.04,1.09,2.19,17.49,9.84,0,0,96.17,0,1.09,1.09,0,1.09,1.09,0,1.09,0,0,2.19,1.09,8.74,0,4.37
108-118,0.77,0,0,1.53,0.77,249.7,0,0,13.79,0.77,0,0.77,0,0,91.92,0,0,19.92,9.19,3.83,1.53,106.47,0,0,0,0,0.77,0,0,0,0,0,0,0,3.06,0,9.96
120,0,0,3.92,0,1.96,186.18,0,0,13.72,1.96,0,0,0,1.96,58.79,1.96,0,5.88,3.92,1.96,1.96,113.67,1.96,0,0,0,0,1.96,0,0,0,0,1.96,0,7.84,0,1.96
