stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,5.26,5.26,0,0,0,13.14,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,42.06,10.51,0,0,13.14,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,0,0,0,9.44,0,0,0,0,18.88,0,0,0,0,0,0,0,0,0,0,198.26,28.32,0,0,56.65,0,0,0,6.29,0,0,0,0,0,0
 14-21,0,0,0,17,2,0,8,0,0,2,0,1,0,0,0,1,0,0,0,18,0,28,75,27,0,1,1,0,0,5,0,10,32,0,4,0,0
 24-34,0,0,0.82,11.49,0,0,3.28,4.93,3.28,2.46,0.82,0,0,0,0,0,0,0,0,75.52,0,73.06,45.15,9.03,0.82,0.82,0,0,0,0,0,4.1,14.78,0,3.28,0,0
 36-46,0,0,0,2.42,0,0,0.81,1.61,7.25,3.22,0,0,0,0,0,0,0,0,0,90.23,0.81,31.42,24.17,4.03,0,0,0,0,0.81,0,0,0,8.86,0,1.61,0,0
 48-58,0,0,0,4.02,0,0,6.31,0.57,13.77,1.72,0,0,0.57,0,0,0.57,0,0.57,0,150.91,0,26.4,29.26,2.3,0,1.15,0,0,0.57,0,0.57,0,1.15,0,1.15,0,0.57
 60-70,0,0,0,0,0.98,0,4.91,0.98,11.78,3.93,0,0,0.98,0.98,0,0.98,0,0,0,155.08,0.98,9.82,19.63,1.96,0.98,3.93,0,0,0,0,0,0,0,0.98,1.96,0,0
 72-82,0,0,0,0.98,1.96,0,7.85,0,17.67,3.93,0,0,0,0,0,0,0,0,0,167.86,0,12.76,21.6,1.96,0.98,0.98,0,0.98,0,0,0.98,0,1.96,1.96,4.91,2.94,0.98
 84-94,0,0,0,4.25,0,1.06,7.43,1.06,11.68,1.06,0,0,1.06,0,0,1.06,0,0,0,115.76,1.06,2.12,12.74,4.25,0,4.25,0,1.06,3.19,0,0,0,3.19,3.19,4.25,2.12,0
 96-106,0,0,0,3.28,0,0,1.09,0,10.93,2.19,0,0,1.09,0,0,0,0,0,0,91.8,4.37,9.84,16.39,1.09,0,4.37,0,0,1.09,0,0,0,3.28,3.28,3.28,2.19,0
108-118,0,0,0,3.83,0.77,7.66,3.83,0,5.36,3.06,1.53,0,0,0,0.77,0.77,1.53,0,0.77,49.02,0,5.36,15.32,1.53,0.77,0,0,0,0,0,0,0,2.3,2.3,1.53,0.77,0.77
120,0,0,0,3.92,1.96,1.96,5.88,0,9.8,1.96,1.96,0,1.96,5.88,0,0,0,0,0,41.16,0,0,5.88,0,0,1.96,0,0,0,0,0,0,1.96,0,0,1.96,0
