stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,7.89,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,1,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0.82,3.28,0,0,0,0,0,0,0,2.46,0,1.64,0,0,0.82,0
 36-46,0,0,0,0,0,0,2.42,0,0,0,0.81,0,0,0,0,0.81,0,0,14.5,0,0,0,0,0,0,0,1.61,0,6.45,0,0.81,1.61,0
 48-58,0,0.57,0,0,0,0,5.74,0,0,0,0.57,0,0,0.57,0,0,0,0,1.72,0,0,0,0,0,0,0,0,0,3.44,0,0,1.72,0
 60-70,0,0,0,0,0.98,0,54.97,0,0,0,0,0,0,22.58,0,0,0,0,1.96,0,0,0,0,0,0,0,0.98,0,3.93,0,0,0.98,0
 72-82,0,0,0.98,0,7.85,0,58.9,0.98,0.98,0,0,0.98,0.98,67.73,3.93,0.98,0,0,20.61,0,0.98,0,0,0,0,0,0,0,0,0,0,3.93,0
 84-94,0,0,1.06,0,6.37,0,35.05,0,1.06,0,0,0,0,314.36,1.06,0,0,0,18.05,0,0,0,0,0,1.06,0,0,0,2.12,0,0,1.06,0
 96-106,0,5.46,2.19,0,16.39,0,61.2,0,0,3.28,0,0,1.09,359.55,5.46,1.09,0,3.28,50.27,1.09,2.19,0,0,0,2.19,0,0,0,1.09,1.09,0,2.19,1.09
108-118,0,1.53,3.06,0,15.32,0.77,39.83,3.83,0,0.77,0.77,0,0,942.9,18.38,0,0,0.77,64.34,0.77,0.77,0.77,0,0.77,5.36,0,0,0,0,0.77,0,1.53,0.77
120,0,1.96,5.88,1.96,1.96,0,33.32,3.92,0,0,0,0,0,376.28,7.84,0,1.96,1.96,29.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
