stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.03,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,12.59,0,6.29,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122.73,3.15,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,3,6,29,43,0,3,1,0,3,2,3,0,0,0,15,0,25,0,0,15,27,13,4,16,0,0,6,1,0,0,4,24,0,0,12,0,0
 24-34,0,0,7.39,1.64,17.24,2.46,0,4.1,2.46,0,4.93,0,16.42,0,0,0,12.31,0,50.89,0,0,26.27,28.73,2.46,22.16,9.85,0,1.64,6.57,0,0,0,0,11.49,0,0,102.61,0,0
 36-46,0,0,3.22,0,3.22,0.81,0,0,2.42,0,3.22,0,16.11,0,0,0.81,1.61,0,52.37,0,4.83,6.45,13.7,2.42,27.39,0,0,0,4.03,0,0,0,0,5.64,0,0,56.4,0,0
 48-58,0,0,5.74,0,5.74,0,0,5.16,0,1.72,5.16,0,15.49,0,0,0,0,0.57,54.51,0,5.74,3.44,11.48,0,24.67,0.57,0,2.3,2.87,0,0.57,0,0,7.46,0,0.57,58.53,0,0
 60-70,0,0,0,0,14.72,0,0,2.94,0,4.91,23.56,2.94,4.91,0,0.98,0,1.96,0,99.13,0,5.89,3.93,14.72,1.96,37.3,0,0,0.98,3.93,0,0,0,0,5.89,0,3.93,52.02,0,0
 72-82,0,0,15.71,0,14.72,0,0,4.91,0,0,30.43,4.91,19.63,0.98,1.96,0,0.98,0.98,147.25,0,19.63,4.91,22.58,0.98,69.7,1.96,0,0.98,5.89,0,0,0,0,3.93,0,4.91,106.02,6.87,0
 84-94,0,0,8.5,0,33.99,1.06,0,12.74,2.12,1.06,10.62,4.25,12.74,0,4.25,0,2.12,0,80.71,1.06,9.56,1.06,20.18,4.25,77.53,1.06,0,0,18.05,0,0,0,0,2.12,3.19,4.25,84.96,8.5,0
 96-106,0,0,17.49,0,32.79,2.19,0,5.46,3.28,2.19,20.76,14.21,10.93,0,2.19,0,3.28,0,66.66,2.19,10.93,4.37,21.86,2.19,147.53,3.28,0,2.19,14.21,0,2.19,1.09,0,2.19,1.09,2.19,97.26,3.28,2.19
108-118,0,0,14.55,0,30.64,0,0.77,0.77,1.53,0.77,12.26,6.13,6.89,0,3.06,0,4.6,0.77,61.28,0.77,16.09,3.06,9.96,1.53,91.15,0.77,0,0,13.02,0,2.3,0,0,0,0.77,0.77,68.94,3.83,0
120,0,0,11.76,0,31.36,0,0,3.92,3.92,1.96,5.88,9.8,9.8,0,5.88,0,11.76,0,50.95,1.96,7.84,0,13.72,5.88,56.83,5.88,0,1.96,7.84,0,0,0,0,1.96,0,1.96,70.55,1.96,0
