stage,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,fin_epithelia,glial,gut,hatching_gland,immune,iridophores,lateral_line,mesenchyme,mural_cell,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord
  3-4,144.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,116.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,5.26,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,9.44,0,0,0
 14-21,0,1,0,0,0,0,1,0,0,0,0,0,0,0,5,1,1,0,0,0,0,9
 24-34,0,0,0,0,1.64,0,0,0,0,0,0,0,0,0,27.09,0,2.46,0,0,0,0,9.03
 36-46,0,0,0,0,3.22,0.81,1.61,0,0,0,0,0.81,1.61,0,63.65,0,0.81,0,0,0,0,16.11
 48-58,0,0,0,0.57,4.02,1.15,1.72,0,0,0,0,0.57,3.44,0,56.81,0,0,0.57,0,0,0,11.48
 60-70,0,0,0,0,7.85,0,0,0,0,0,0,1.96,3.93,0,108.95,0,0,0,0,0.98,0,9.82
 72-82,0,1.96,0,0,31.41,0,1.96,0.98,0,0.98,0,3.93,3.93,0,133.51,0,0,0,0,0.98,0.98,9.82
 84-94,0,1.06,0,1.06,14.87,0,2.12,1.06,1.06,0,1.06,3.19,1.06,0,50.98,0,0,1.06,0,2.12,0,3.19
 96-106,0,1.09,0,1.09,26.23,0,5.46,1.09,0,0,0,8.74,3.28,1.09,64.48,0,1.09,1.09,0,3.28,0,0
108-118,0,0,0,0.77,23.74,0,3.06,1.53,0,0,0.77,4.6,1.53,0,68.17,0.77,0,1.53,0,0,0,2.3
120,0,1.96,0,1.96,15.68,0,5.88,0,0,0,0,1.96,0,0,66.63,0,0,0,0,3.92,0,0
