stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,9.44,0,3.15,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,4,0,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,44,0,3,0,0,1,0,0,1,7,46,0,0,0,0,0
 24-34,0,0,4.1,0,0.82,0,0.82,0,0.82,0,0.82,0,0,0,0,0,0,0,0,0,0.82,0,0.82,283.2,0,12.31,0,0,1.64,0,0,0.82,1.64,120.67,0,0,1.64,0,0
 36-46,0,0,3.22,0,0.81,0,4.03,0.81,1.61,0.81,2.42,0,0,0,0,0,0,0,0,0.81,8.86,0,1.61,572.03,0.81,6.45,0,0,0.81,0,0,0,0,145.83,0,0,0.81,0,0
 48-58,0,0,3.44,0,1.15,0.57,39.59,0,0,1.72,7.46,0,0,0.57,0,0,0,0,0.57,0.57,12.62,0.57,1.15,650.69,0,6.31,0,0,0,0,0,0,0,111.32,0,0,1.15,0,1.72
 60-70,0,0,0,0,3.93,0,99.13,0.98,0,0,8.83,0.98,0,0,0,0.98,0.98,1.96,0,0,9.82,0.98,2.94,962.87,0,4.91,0,0,3.93,0,0,0,0,135.45,0,0,0,0,1.96
 72-82,0,0,11.78,0,4.91,1.96,201.24,1.96,0.98,0,26.5,5.89,0,0,0.98,0,0,0,0,0,22.58,0,0.98,971.85,0,14.72,0.98,0,0,0,0.98,0,0,86.39,0.98,0.98,0.98,0,0
 84-94,0,0,8.5,0,5.31,1.06,144.44,1.06,1.06,0,19.12,5.31,0,1.06,1.06,0,0,0,0,0,15.93,5.31,1.06,476.85,1.06,9.56,0,0,1.06,0,0,0,0,49.92,1.06,2.12,0,0,0
 96-106,0,0,5.46,0,7.65,2.19,134.42,0,0,0,20.76,5.46,0,0,0,1.09,0,0,2.19,0,12.02,1.09,0,417.47,0,2.19,2.19,0,5.46,0,0,0,0,21.86,0,0,0,2.19,2.19
108-118,0,0,9.19,0,8.43,0.77,81.96,0,0,0,16.09,2.3,0,0,2.3,0,0,0.77,0,0,7.66,0,0,465.71,0,3.83,0.77,0,0.77,0,0,0,0,16.09,0.77,0,0.77,0,0
120,0,0,3.92,0,1.96,0,72.51,0,0,0,15.68,0,0,0,0,0,0,0,0,0,15.68,0,1.96,491.91,0,7.84,3.92,0,1.96,0,0,0,0,21.56,0,0,1.96,1.96,0
