stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,250.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0
  5-6,6.13,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,24,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,23,0,0,2,0,5,0,1,2,11,0,0,1,0,0
 24-34,0,0,0,30.37,0,0,2.46,6.57,0,0.82,0,0,0,0,0,0,0,0,0,7.39,0,0,2.46,86.19,0,1.64,0,0,9.03,0,0,0,29.55,0,0,0,0,0.82
 36-46,0,0,0,11.28,0.81,0,8.86,6.45,0.81,9.67,0,0,0,0,0,0,0,0,1.61,6.45,0,0,2.42,132.94,1.61,0,0,0,8.06,0.81,0,0,38.67,0,0,1.61,0,0.81
 48-58,0,0,0,10.33,0,0,40.74,7.46,1.15,17.21,0,0,1.15,0,0.57,0,0.57,0,2.87,10.33,0,0,1.15,148.62,0,1.15,0,0,7.46,0,0,0,29.84,0,0.57,0,0,0.57
 60-70,0,0,0,17.67,0,0,220.84,13.74,0,12.76,0.98,0,0,0,0,0.98,1.96,0,0.98,9.82,0.98,2.94,0.98,297.4,0,4.91,0,0,4.91,0,0,0,38.28,0,0,0,0,0
 72-82,0,0,0,15.71,0.98,0,316.1,8.83,0.98,25.52,1.96,0.98,0.98,1.96,0,0,0.98,0,1.96,8.83,0,7.85,0.98,349.47,0,11.78,0,1.96,4.91,0,0,0,17.67,1.96,0,0,1.96,2.94
 84-94,0,0,0,29.74,0,0,187.98,19.12,1.06,9.56,0,0,2.12,4.25,0,0,7.43,1.06,0,12.74,0,4.25,1.06,190.1,1.06,11.68,0,1.06,7.43,0,0,0,13.81,0,1.06,1.06,2.12,0
 96-106,0,0,0,22.95,1.09,0,216.38,14.21,0,16.39,1.09,0,1.09,1.09,0,1.09,10.93,0,0,17.49,0,2.19,2.19,172.67,0,12.02,0,3.28,9.84,0,0,0,4.37,0,0,1.09,1.09,1.09
108-118,0,0,0,31.4,1.53,0.77,195.32,24.51,2.3,16.09,1.53,0,0,2.3,0.77,1.53,6.89,0,3.06,15.32,0,2.3,0.77,185.36,0,13.02,0,1.53,5.36,0,0,0,3.06,0,0,1.53,0,0.77
120,0,0,0,35.28,0,0,184.22,11.76,0,23.52,0,0,0,0,0,1.96,9.8,1.96,1.96,9.8,0,0,1.96,243.01,0,19.6,0,0,1.96,0,0,0,0,0,0,0,1.96,0
